service_id,minimal_semantics,grade,automatic_producers,order_producers,act_consumers,radio_consumers
0,service role open,C,if time 30s ref=282 timeline=255 -> action0 mode0 value1,,,radio row 0 event 736 primary==0 | radio row 15 event 243 secondary==1
2,service role open,C,if service 258 cmp0 1 AND service 259 cmp0 1 -> action0 mode0 value1,,,
3,service role open,C,if stat record=0 field=1 cmp3 expected=0 -> action2 mode1 value10,,,
8,service role open,C,if service 295 cmp0 1 -> action0 mode0 value1,,ActStart g77 a1 == 1 | ActStart g148 a2 == 1,
162,service role open,C,if service 279 cmp1 1 AND service 282 cmp0 0 AND stat record=0 field=1 cmp2 expected=20 -> action0 mode0 value1,,,
164,F/A-18F conditional-wave output/counter,B,,OrderFlag g118 a1 o1 add 1,,
219,Strigon element gate 1,A-,,OrderFlag g165 a0 o7 set 1 | OrderFlag g165 a0 o21 set 1 | OrderFlag g168 a0 o7 set 1 | OrderFlag g169 a0 o7 set 1 | OrderFlag g170 a0 o7 set 1 | OrderFlag g171 a0 o7 set 1 | OrderFlag g172 a0 o7 set 1,ActStart g165 a1 == 1,
220,Strigon element gate 2,A-,,OrderFlag g166 a0 o7 set 1 | OrderFlag g166 a0 o22 set 1,ActStart g166 a1 == 1,
221,Strigon element gate 3,A-,,OrderFlag g167 a0 o7 set 1 | OrderFlag g167 a0 o22 set 1,ActStart g167 a1 == 1,
222,Strigon element gate 4,A-,,OrderFlag g168 a0 o22 set 1,ActStart g168 a1 == 1,
223,Strigon element gate 5 / coordinated branch,A-,,OrderFlag g169 a0 o21 set 1,ActStart g169 a1 == 1,
243,paired gate for groups 191 and Nimbus 200,A-,if service 293 cmp0 1 -> action0 mode0 value0,OrderFlag g182 a0 o3 set 1 | OrderFlag g182 a1 o1 set 0 | OrderFlag g200 a0 o3 set 0,ActStart g191 a1 == 0 | ActStart g200 a1 == 0,
244,paired gate for groups 192 and Nimbus 201,A-,if service 293 cmp0 1 -> action0 mode0 value0 | if service 294 cmp0 1 -> action0 mode0 value0,OrderFlag g183 a0 o3 set 1 | OrderFlag g183 a1 o1 set 0 | OrderFlag g201 a0 o3 set 0,ActStart g192 a1 == 0 | ActStart g201 a1 == 0,
245,paired gate for groups 193 and Nimbus 202,A-,if service 293 cmp0 1 -> action0 mode0 value0 | if service 294 cmp0 1 -> action0 mode0 value0,OrderFlag g184 a0 o3 set 1 | OrderFlag g184 a3 o1 set 0 | OrderFlag g202 a0 o3 set 0,ActStart g193 a1 == 0 | ActStart g202 a1 == 0,
246,paired gate for groups 194 and Nimbus 203,A-,if service 293 cmp0 1 -> action0 mode0 value0 | if service 294 cmp0 1 -> action0 mode0 value0,OrderFlag g185 a0 o3 set 1 | OrderFlag g185 a1 o1 set 0 | OrderFlag g203 a0 o3 set 0,ActStart g194 a1 == 0 | ActStart g203 a1 == 0,
247,paired gate for groups 195 and Nimbus 204,A-,if service 293 cmp0 1 -> action0 mode0 value0 | if service 294 cmp0 1 -> action0 mode0 value0,OrderFlag g186 a0 o3 set 1 | OrderFlag g186 a1 o1 set 0 | OrderFlag g204 a0 o3 set 0,ActStart g195 a1 == 0 | ActStart g204 a1 == 0,
248,paired gate for groups 196 and Nimbus 205,A-,if service 293 cmp0 1 -> action0 mode0 value0 | if service 294 cmp0 1 -> action0 mode0 value0,OrderFlag g187 a0 o2 set 1 | OrderFlag g187 a0 o4 set 0 | OrderFlag g187 a1 o1 set 0 | OrderFlag g205 a0 o3 set 0,ActStart g196 a1 == 0 | ActStart g205 a1 == 0,
249,paired gate for groups 197 and Nimbus 206,A-,if service 293 cmp0 1 -> action0 mode0 value0 | if service 294 cmp0 1 -> action0 mode0 value0,OrderFlag g188 a0 o2 set 1 | OrderFlag g188 a0 o4 set 0 | OrderFlag g188 a1 o1 set 0 | OrderFlag g206 a0 o3 set 0,ActStart g197 a1 == 0 | ActStart g206 a1 == 0,
250,paired gate for groups 198 and Nimbus 207,A-,if service 293 cmp0 1 -> action0 mode0 value0 | if service 294 cmp0 1 -> action0 mode0 value0,OrderFlag g189 a0 o3 set 1 | OrderFlag g189 a0 o5 set 0 | OrderFlag g189 a0 o7 set 1 | OrderFlag g189 a1 o1 set 0 | OrderFlag g207 a0 o3 set 0,ActStart g198 a1 == 0 | ActStart g207 a1 == 0,
