model,profile_sha256,mode,declared_weight,leftover_no_selection_pct,explicit_idle_only_pct,contains_hold_opcode_pct,active_command_pct,direct_axis_opcode_pct,staged_maneuver_opcode_pct,expected_commands_per_selection,reachable_branches,total_branches
o_f18f,fe9b2f0d8e5ab1a6fbf09cf093056f5034f76910fa64b52b0fa4d8924c4f6ab2,4,100,0,60,60,40,20,40,2.4,4,4
o_f18f,fe9b2f0d8e5ab1a6fbf09cf093056f5034f76910fa64b52b0fa4d8924c4f6ab2,5,100,0,5,10,95,60,95,3.25,12,12
o_f18f,fe9b2f0d8e5ab1a6fbf09cf093056f5034f76910fa64b52b0fa4d8924c4f6ab2,6,100,0,5,10,95,70,95,3.15,12,12
o_rflm,730e55e565a899b9bbc31eeeae7895022a73d56ccad7c793e0a592b70b33f4fa,4,100,0,20,70,80,70,80,3.7,9,9
o_rflm,730e55e565a899b9bbc31eeeae7895022a73d56ccad7c793e0a592b70b33f4fa,5,110,0,0,30,100,70,100,3.25,13,14
o_rflm,730e55e565a899b9bbc31eeeae7895022a73d56ccad7c793e0a592b70b33f4fa,6,100,0,0,20,95,60,95,2.9,15,15
o_su33,f0a326c209cae6db003cfb7626d13efe1f2bd43cb551b61736138f8093d29769,4,60,40,0,50,60,60,60,1.9,5,5
o_su33,f0a326c209cae6db003cfb7626d13efe1f2bd43cb551b61736138f8093d29769,5,100,0,0,30,100,90,100,2.3,11,11
o_su33,f0a326c209cae6db003cfb7626d13efe1f2bd43cb551b61736138f8093d29769,6,100,0,0,20,100,90,100,2.2,9,9
o_su33,f0a326c209cae6db003cfb7626d13efe1f2bd43cb551b61736138f8093d29769,7,100,0,0,0,100,100,100,2.0,2,2
o_su33,f0a326c209cae6db003cfb7626d13efe1f2bd43cb551b61736138f8093d29769,8,100,0,0,20,100,80,100,2.6,8,8
