case	field	retail	port	verdict
parse-real	count	0x12	0x12	ok
parse-real	base	0xb0000000	0xb0000000	ok
parse-real	header_size	0x10	0x10	ok
parse-real	version	0x1	0x1	ok
parse-real	endian	0x1	0x1	ok
parse-real	array0	0xb0000014	0xb0000014	ok
parse-real	array1	0xb000005c	0xb000005c	ok
parse-real	array2	0xb00000a4	0xb00000a4	ok
parse-real	array3	0xb00000ec	0xb00000ec	ok
parse-byte-swapped	count	0x12	0x12	ok
parse-byte-swapped	base	0xb0000000	0xb0000000	ok
parse-byte-swapped	header_size	0x10	0x10	ok
parse-byte-swapped	version	0x1	0x1	ok
parse-byte-swapped	endian	0x0	0x0	ok
parse-byte-swapped	array0	0xb0000014	0xb0000014	ok
parse-byte-swapped	array1	0xf8000014	0xf8000014	ok
parse-byte-swapped	array2	0x40000014	0x40000014	ok
parse-byte-swapped	array3	0x88000014	0x88000014	ok
parse-small-count	count	0x3	0x3	ok
parse-small-count	base	0xb0000000	0xb0000000	ok
parse-small-count	header_size	0x10	0x10	ok
parse-small-count	version	0x1	0x1	ok
parse-small-count	endian	0x1	0x1	ok
parse-small-count	array0	0xb0000014	0xb0000014	ok
parse-small-count	array1	0xb0000020	0xb0000020	ok
parse-small-count	array2	0xb000002c	0xb000002c	ok
parse-small-count	array3	0xb0000038	0xb0000038	ok
getter-first	r3	0xb0000100	0xb0000100	ok
getter-last	r3	0xb0000300	0xb0000300	ok
getter-zero-entry	r3	0x0	0x0	ok
getter-past-end	r3	0x0	0x0	ok
getter-far-past	r3	0x0	0x0	ok
