patch_id	min	max	mean	flat
0	0.0529	216.8052	86.1523	0
1	0.0000	238.9497	72.6920	0
2	0.0000	264.4032	98.3319	0
3	14.2582	487.4388	154.2910	0
4	0.3712	207.9673	93.7087	0
5	0.3712	207.9673	93.8167	0
6	0.0000	187.9723	54.1075	0
7	0.3712	207.9673	93.6058	0
8	14.2582	487.4388	154.2910	0
9	0.2048	356.2211	99.5591	0
10	0.0109	147.9868	74.2027	0
11	0.0000	203.7615	56.6047	0
12	0.0000	248.4563	79.2543	0
13	0.2048	356.2211	99.5589	0
14	13.2685	196.2018	78.4260	0
15	0.2048	356.2211	99.5286	0
16	13.2685	196.2018	78.4265	0
17	0.2048	356.2211	99.5589	0
18	0.0000	187.9723	54.2135	0
19	0.2048	356.2211	99.5286	0
20	13.2685	196.2018	78.4286	0
21	13.2685	196.2018	78.4286	0
22	0.3712	207.9673	93.7087	0
23	0.0522	216.8052	86.1523	0
24	0.0000	238.9497	72.6921	0
25	0.0000	264.4032	98.3319	0
26	16.1302	487.4388	154.1908	0
27	0.2048	356.2211	99.5491	0
28	14.2582	487.4388	154.4011	0
29	0.3712	207.9673	93.8188	0
30	0.0000	187.9723	54.1061	0
31	0.2048	356.2211	99.4488	0
32	0.3712	207.9673	93.7087	0
33	14.2582	487.4388	154.2910	0
34	14.2582	487.4388	154.2910	0
35	0.2048	356.2211	99.5589	0
36	0.2048	356.2211	99.5591	0
37	0.0000	248.4563	79.2570	0
38	0.2048	356.2211	99.5893	0
39	13.2685	196.2018	78.4308	0
40	0.2048	356.2211	99.5611	0
41	0.0000	187.9723	54.3177	0
42	0.2048	356.2211	99.5919	0
43	0.0000	226.5518	68.7885	0
44	0.0000	203.7615	56.6046	0
45	0.0000	248.4563	79.2544	0
46	0.2048	356.2211	97.9051	0
47	0.0000	187.9723	34.3664	0
48	0.0000	313.4850	84.9926	0
49	0.0000	157.5264	15.8737	0
50	0.0000	260.6715	43.4432	0
51	0.0000	328.9089	43.0631	0
52	0.3712	367.9451	116.4614	0
53	0.0000	200.2224	66.9514	0
54	0.0000	143.8925	8.4286	0
55	0.0000	62.5000	0.3159	0
56	0.0000	0.0000	0.0000	0
57	0.0000	275.7217	20.2370	0
58	0.2048	356.2211	99.5589	0
59	0.0000	224.6817	34.9506	0
60	0.0000	234.5433	38.3287	0
61	0.0000	224.6817	34.9506	0
62	0.0000	224.6817	34.9506	0
63	0.0000	145.8957	20.9271	0
64	0.0000	235.0726	6.8216	0
65	0.0000	0.0000	0.0000	0
66	0.0000	0.0000	0.0000	0
67	0.0000	196.5120	10.8788	0
68	0.0000	159.1170	31.7720	0
69	0.0000	234.5433	38.3287	0
70	0.0000	234.5433	38.3287	0
71	0.0000	0.0000	0.0000	0
72	0.0000	0.0000	0.0000	0
73	0.0000	0.0000	0.0000	0
