world_x	world_y	world_z	part_id	tag_high	ground
12330.731	0.000	-17446.207	45	47115	0.000
12866.393	0.000	-18668.349	46	47115	0.000
11767.658	0.000	-18642.867	53	47115	0.000
10290.945	0.000	-18480.896	91	47115	0.000
11566.678	0.000	-20424.458	104	47115	0.000
13272.369	0.000	-18306.144	37	47116	0.000
12982.763	0.000	-17431.934	38	47116	0.000
11320.342	0.000	-18752.103	42	47116	0.000
12251.102	0.000	-17900.950	68	47116	0.000
11236.612	0.000	-19394.579	87	47116	0.000
11240.123	0.000	-18464.716	88	47116	0.000
12251.112	0.000	-16406.949	113	47116	0.000
11537.989	0.000	-16419.427	114	47116	0.000
11306.119	0.000	-16680.791	115	47116	0.000
12251.102	0.000	-19948.950	122	47116	0.000
11317.359	0.000	-20436.613	123	47116	0.000
14310.064	0.000	-18380.427	127	47116	0.000
11992.912	0.000	-19413.389	8	47117	0.000
11992.912	0.000	-19413.389	9	47117	0.000
10299.129	0.000	-17533.021	22	47117	0.000
13346.391	0.000	-17556.215	39	47117	0.000
12477.375	0.000	-17462.138	15	30739	0.000
11867.522	0.000	-18489.221	19	30739	0.000
12231.091	0.000	-18377.161	14	30741	0.000
12622.257	0.000	-18365.815	19	30742	0.000
12985.851	0.000	-17157.583	20	30742	0.000
12622.257	0.000	-18365.815	25	30742	0.000
11329.277	0.000	-18052.023	26	30742	0.000
12243.186	0.000	-17430.720	34	30742	0.000
11308.341	0.000	-17339.886	42	30742	0.000
12243.186	0.000	-19478.720	46	30742	0.000
13108.400	0.000	-17441.736	16	30743	0.000
13047.468	0.000	-17059.233	17	30743	0.000
11859.278	0.000	-18384.951	20	30743	0.000
12231.713	0.000	-18580.246	21	30743	0.000
12344.999	0.000	-19235.559	35	30746	0.000
11308.516	0.000	-19326.876	59	47147	0.000
11596.000	0.000	-17357.000	96	47147	0.000
14314.000	0.000	-17969.000	108	47147	0.000
13347.965	0.000	-18389.269	109	47147	0.000
10284.000	0.000	-18036.000	61	47148	0.000
13350.197	0.000	-18266.848	82	47148	0.000
11235.000	0.000	-17866.000	75	47149	0.000
12235.211	0.000	-16757.662	113	47149	0.000
11812.508	0.000	-20442.000	135	47149	0.000
11318.000	0.000	-20002.000	136	47149	0.000
14028.000	0.000	-17456.000	143	47149	0.000
13592.107	0.000	-17423.718	144	47149	0.000
13286.749	0.000	-17427.055	33	47150	0.000
11307.000	0.000	-17650.120	50	47150	0.000
11235.000	0.000	-18381.000	56	47150	0.000
10774.000	0.000	-19415.000	72	47150	0.000
11307.000	0.000	-19698.120	83	47150	0.000
13490.226	0.000	-17428.314	87	47150	0.000
12377.495	0.000	-18738.417	7	30771	0.000
13257.072	0.000	-18379.596	44	47156	0.000
12521.567	0.000	-17339.269	45	47156	0.000
12776.421	0.000	-20063.634	46	47156	0.000
13180.466	0.000	-19412.924	47	47156	0.000
12372.071	0.000	-17353.235	13	30773	0.000
12374.172	0.000	-18831.866	17	30773	0.000
12330.346	0.000	-18339.615	13	30774	0.000
12433.229	0.000	-19415.040	21	47170	0.000
12433.229	0.000	-19415.040	22	47170	0.000
12433.229	0.000	-19415.040	25	47170	0.000
12433.229	0.000	-19415.040	26	47170	0.000
10602.174	0.000	-18393.698	43	47170	0.000
10463.087	0.000	-18452.307	53	47170	0.000
13422.478	0.000	-18387.345	65	47170	0.000
11093.958	0.000	-18385.307	40	47171	0.000
11241.933	0.000	-19277.091	58	47171	0.000
10285.541	0.000	-18608.470	59	47171	0.000
13352.105	0.000	-18143.194	65	47171	0.000
11052.702	0.000	-18390.678	24	47172	0.000
11223.447	0.000	-18928.116	37	47172	0.000
12273.502	0.000	-16544.312	48	47172	0.000
11247.368	0.000	-18320.119	32	47173	0.000
10274.087	0.000	-19229.812	45	47173	0.000
14314.823	0.000	-18082.597	56	47173	0.000
12524.960	0.000	-19413.418	17	47174	0.000
12524.960	0.000	-19413.418	18	47174	0.000
12524.960	0.000	-19413.418	21	47174	0.000
12524.960	0.000	-19413.418	22	47174	0.000
10894.890	0.000	-18390.466	40	47174	0.000
11221.475	0.000	-18748.575	53	47174	0.000
10834.947	0.000	-18453.730	54	47174	0.000
11587.812	0.000	-16408.196	61	47174	0.000
14320.104	0.000	-18157.898	65	47174	0.000
13265.321	0.000	-17963.480	28	30791	0.000
12004.959	0.000	-18645.634	33	30791	0.000
11325.413	0.000	-18384.270	34	30791	0.000
11328.787	0.000	-17454.117	43	30791	0.000
11328.787	0.000	-19502.117	53	30791	0.000
12245.117	0.000	-20432.023	54	30791	0.000
12248.074	0.000	-17567.789	72	47176	0.000
10278.573	0.000	-19398.204	94	47176	0.000
12248.074	0.000	-19615.789	112	47176	0.000
13116.084	0.000	-17344.411	12	14415	0.000
12372.571	0.000	-18579.880	17	14415	0.000
12110.258	0.000	-18478.208	18	14415	0.000
12959.540	0.000	-17331.017	10	14416	0.000
12231.249	0.000	-18475.516	12	14416	0.000
12069.681	0.000	-18379.966	26	14418	0.000
13002.143	0.000	-17717.786	26	30803	0.000
12870.578	0.000	-18597.564	33	47188	0.000
12618.858	0.000	-16844.610	34	47188	0.000
11644.879	0.000	-19403.755	57	47188	0.000
10288.953	0.000	-17947.570	61	47188	0.000
10290.155	0.000	-18564.106	82	47188	0.000
11161.328	0.000	-18452.012	83	47188	0.000
11517.193	0.000	-17354.038	99	47188	0.000
13348.193	0.000	-17680.663	103	47188	0.000
12243.308	0.000	-18905.801	35	30805	0.000
11486.173	0.000	-18375.977	36	30805	0.000
12242.275	0.000	-18129.838	37	30805	0.000
11929.957	0.000	-19417.711	10	47191	0.000
11929.957	0.000	-19417.711	11	47191	0.000
10288.155	0.000	-17723.923	28	47191	0.000
