document	type	name	value
000_ef_bb_bf.bin	Float	.sky1.fog.far	24000
000_ef_bb_bf.bin	Float	.sky1.fog.density	0.014
000_ef_bb_bf.bin	Float	.sky1.sun.lrx	40.000
000_ef_bb_bf.bin	Float	.sky1.sun.lry	145
000_ef_bb_bf.bin	Float	.sky1.moon.lrx	0
000_ef_bb_bf.bin	Float	.sky1.moon.lry	0
000_ef_bb_bf.bin	Float	.sky1.moon.power	0
000_ef_bb_bf.bin	Float	.sky1.star.min_size	3
000_ef_bb_bf.bin	Float	.sky1.star.offset	3
000_ef_bb_bf.bin	Float	.sky1.star.threshold	0
000_ef_bb_bf.bin	Float	.sky1.star.power	0
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.Ratio	0
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.Color.R	255
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.Color.G	255
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.Color.B	255
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.Color.A	255
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.UpperWidth	0
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.LowerWidth	10
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.Length	0
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.FadeNear	16000
000_ef_bb_bf.bin	Float	.sky1.Weather.LightShaft.FadeFar	24000
000_ef_bb_bf.bin	Float	.sky1.Weather.Rain.Ratio	0
000_ef_bb_bf.bin	Float	.sky1.Weather.Rain.Color.R	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Rain.Color.G	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Rain.Color.B	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Rain.Color.A	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Snow.Ratio	0
000_ef_bb_bf.bin	Float	.sky1.Weather.Snow.Color.R	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Snow.Color.G	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Snow.Color.B	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Snow.Color.A	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Air.Ratio	1
000_ef_bb_bf.bin	Float	.sky1.Weather.Air.Color.R	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Air.Color.G	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Air.Color.B	255
000_ef_bb_bf.bin	Float	.sky1.Weather.Air.Color.A	40
000_ef_bb_bf.bin	Float	.sky1.suneff.flare_col.R	187
000_ef_bb_bf.bin	Float	.sky1.suneff.flare_col.G	187
000_ef_bb_bf.bin	Float	.sky1.suneff.flare_col.B	187
000_ef_bb_bf.bin	Float	.sky1.suneff.cross_col.R	141
000_ef_bb_bf.bin	Float	.sky1.suneff.cross_col.G	169
000_ef_bb_bf.bin	Float	.sky1.suneff.cross_col.B	180
000_ef_bb_bf.bin	Float	.sky1.suneff.glow_col.R	65
000_ef_bb_bf.bin	Float	.sky1.suneff.glow_col.G	72
000_ef_bb_bf.bin	Float	.sky1.suneff.glow_col.B	122
000_ef_bb_bf.bin	Float	.sky1.mapspecular.mesh.power	1
000_ef_bb_bf.bin	Float	.sky1.mapspecular.mesh.scale	1.0
000_ef_bb_bf.bin	Float	.sky1.mapspecular.mesh.contrast	3.5
000_ef_bb_bf.bin	Float	.sky1.mapspecular.mesh.col.R	240
000_ef_bb_bf.bin	Float	.sky1.mapspecular.mesh.col.G	238
000_ef_bb_bf.bin	Float	.sky1.mapspecular.mesh.col.B	172
000_ef_bb_bf.bin	Float	.sky1.mapspecular.mesh.fogPower	5
000_ef_bb_bf.bin	Float	.sky1.mapspecular.parts.power	3
000_ef_bb_bf.bin	Float	.sky1.mapspecular.parts.scale	0.5
000_ef_bb_bf.bin	Float	.sky1.mapspecular.parts.contrast	1.0
000_ef_bb_bf.bin	Float	.sky1.mapspecular.parts.col.R	240
000_ef_bb_bf.bin	Float	.sky1.mapspecular.parts.col.G	238
000_ef_bb_bf.bin	Float	.sky1.mapspecular.parts.col.B	172
000_ef_bb_bf.bin	Float	.sky1.mapspecular.parts.fogPower	3
000_ef_bb_bf.bin	Float	.sky1.ocean.spePow	45
000_ef_bb_bf.bin	Float	.sky1.ocean.speFresnel	0.1
000_ef_bb_bf.bin	Float	.sky1.ocean.speMin	0.025
000_ef_bb_bf.bin	Float	.sky1.ocean.speScroll.X	-0.0649
000_ef_bb_bf.bin	Float	.sky1.ocean.speScroll.Z	0.7
000_ef_bb_bf.bin	Float	.sky1.ocean.speCol.R	3.6
000_ef_bb_bf.bin	Float	.sky1.ocean.speCol.G	4.2
000_ef_bb_bf.bin	Float	.sky1.ocean.speCol.B	4
000_ef_bb_bf.bin	Float	.sky1.high.sun.brightness	128
000_ef_bb_bf.bin	Float	.sky1.high.sun.col.R	203
000_ef_bb_bf.bin	Float	.sky1.high.sun.col.G	199
000_ef_bb_bf.bin	Float	.sky1.high.sun.col.B	177
000_ef_bb_bf.bin	Float	.sky1.high.ambient.R	100
000_ef_bb_bf.bin	Float	.sky1.high.ambient.G	126
000_ef_bb_bf.bin	Float	.sky1.high.ambient.B	140
000_ef_bb_bf.bin	Float	.sky1.high.specular.power	0.6
000_ef_bb_bf.bin	Float	.sky1.high.specular.col.R	244
000_ef_bb_bf.bin	Float	.sky1.high.specular.col.G	240
000_ef_bb_bf.bin	Float	.sky1.high.specular.col.B	225
000_ef_bb_bf.bin	Float	.sky1.high.sun.size	10.500
000_ef_bb_bf.bin	Float	.sky1.high.suneff.flare_size	65
000_ef_bb_bf.bin	Float	.sky1.high.suneff.cross_size	42.1
000_ef_bb_bf.bin	Float	.sky1.high.suneff.cross_brightness	1.5
000_ef_bb_bf.bin	Float	.sky1.high.suneff.glow_size	150
000_ef_bb_bf.bin	Float	.sky1.high.player.shadow.col.R	28
000_ef_bb_bf.bin	Float	.sky1.high.player.shadow.col.G	41
000_ef_bb_bf.bin	Float	.sky1.high.player.shadow.col.B	49
000_ef_bb_bf.bin	Float	.sky1.high.player.shadow.brightness	0.4
000_ef_bb_bf.bin	Float	.sky1.high.light2.lrx	90
000_ef_bb_bf.bin	Float	.sky1.high.light2.lry	0
000_ef_bb_bf.bin	Float	.sky1.high.light2.colR	70.0
000_ef_bb_bf.bin	Float	.sky1.high.light2.colG	80
000_ef_bb_bf.bin	Float	.sky1.high.light2.colB	90
000_ef_bb_bf.bin	Float	.sky1.high.light3.lrx	-90
000_ef_bb_bf.bin	Float	.sky1.high.light3.lry	0
000_ef_bb_bf.bin	Float	.sky1.high.light3.colR	-30
000_ef_bb_bf.bin	Float	.sky1.high.light3.colG	-30
000_ef_bb_bf.bin	Float	.sky1.high.light3.colB	-30
000_ef_bb_bf.bin	Float	.sky1.low.sun.brightness	128
000_ef_bb_bf.bin	Float	.sky1.low.sun.col.R	177
000_ef_bb_bf.bin	Float	.sky1.low.sun.col.G	171
000_ef_bb_bf.bin	Float	.sky1.low.sun.col.B	139
000_ef_bb_bf.bin	Float	.sky1.low.ambient.R	140
000_ef_bb_bf.bin	Float	.sky1.low.ambient.G	159
000_ef_bb_bf.bin	Float	.sky1.low.ambient.B	168
000_ef_bb_bf.bin	Float	.sky1.low.specular.power	0.4
000_ef_bb_bf.bin	Float	.sky1.low.specular.col.R	244
000_ef_bb_bf.bin	Float	.sky1.low.specular.col.G	240
000_ef_bb_bf.bin	Float	.sky1.low.specular.col.B	225
000_ef_bb_bf.bin	Float	.sky1.low.sun.size	10.5
000_ef_bb_bf.bin	Float	.sky1.low.suneff.flare_size	85
000_ef_bb_bf.bin	Float	.sky1.low.suneff.cross_size	20
000_ef_bb_bf.bin	Float	.sky1.low.suneff.cross_brightness	0.725
000_ef_bb_bf.bin	Float	.sky1.low.suneff.glow_size	150
000_ef_bb_bf.bin	Float	.sky1.low.player.shadow.col.R	32
000_ef_bb_bf.bin	Float	.sky1.low.player.shadow.col.G	37
000_ef_bb_bf.bin	Float	.sky1.low.player.shadow.col.B	40
000_ef_bb_bf.bin	Float	.sky1.low.player.shadow.brightness	0.3
000_ef_bb_bf.bin	Float	.sky1.low.light2.lrx	90
000_ef_bb_bf.bin	Float	.sky1.low.light2.lry	0
000_ef_bb_bf.bin	Float	.sky1.low.light2.colR	58.000
000_ef_bb_bf.bin	Float	.sky1.low.light2.colG	60
000_ef_bb_bf.bin	Float	.sky1.low.light2.colB	62.000
000_ef_bb_bf.bin	Float	.sky1.low.light3.lrx	-90
000_ef_bb_bf.bin	Float	.sky1.low.light3.lry	0
000_ef_bb_bf.bin	Float	.sky1.low.light3.colR	-20
000_ef_bb_bf.bin	Float	.sky1.low.light3.colG	-20
000_ef_bb_bf.bin	Float	.sky1.low.light3.colB	-20
000_ef_bb_bf.bin	Float	.sky2.fog.far	24000
000_ef_bb_bf.bin	Float	.sky2.fog.density	0.018
000_ef_bb_bf.bin	Float	.sky2.sun.lrx	40
000_ef_bb_bf.bin	Float	.sky2.sun.lry	145
000_ef_bb_bf.bin	Float	.sky2.moon.lrx	20
000_ef_bb_bf.bin	Float	.sky2.moon.lry	0
000_ef_bb_bf.bin	Float	.sky2.moon.power	0
000_ef_bb_bf.bin	Float	.sky2.star.min_size	3
000_ef_bb_bf.bin	Float	.sky2.star.offset	3
