entry	sub	record	desc	stride	verts	indices	restarts	minx	maxx	miny	maxy	minz	maxz
0	10	0	0	28	1343	2582	445	-23.7850	23.7850	-3.1510	11.8287	-24.2550	24.2550
0	10	1	0	28	156	395	43	-4.6759	4.6759	-0.9383	0.9383	-4.6283	4.6283
0	11	0	0	28	444	761	125	-23.7850	23.7850	-3.1501	11.8287	-24.2550	24.2550
0	11	1	0	28	71	167	23	-4.6708	4.6708	-0.9383	0.9383	-4.6708	4.6708
0	12	0	0	28	58	81	13	-23.7850	23.7850	-1.6568	11.8287	-24.2550	24.2550
0	13	0	0	28	6	7	1	-25.3512	25.3512	-2.0083	3.4829	-25.4494	25.4494
2	12	0	0	28	7601	10907	1956	-1204.7250	1204.7250	-95.8118	74.1266	-768.6426	313.4750
2	12	0	1	28	96	119	23	-81.8529	81.8529	-16.7038	30.1114	-223.3232	232.6333
2	12	1	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	-0.0000
2	12	2	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	0.0000	9.0519
2	12	3	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	0.0000	10.1736
2	12	4	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	-9.0519	-0.0000
2	12	5	0	28	24	29	5	-15.6783	15.6782	-0.0000	1.8446	-10.1736	0.0000
2	12	6	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	-9.0519	-0.0000
2	12	7	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	0.0000
2	12	8	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-0.0000	9.0519
2	12	9	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	0.0000	10.1736
2	12	10	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0518	0.0000
2	12	11	0	28	24	29	5	-15.6783	15.6782	-0.0000	1.8446	-10.1735	0.0000
2	12	12	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	-9.0519	-0.0000
2	12	13	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-10.1736	0.0000
2	12	14	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-0.0000	9.0518
2	12	15	0	28	24	29	5	-15.6782	15.6784	-0.0000	1.8446	0.0000	10.1736
2	12	16	0	28	18	22	4	-15.6784	15.6782	-0.0000	1.8446	-9.0519	-0.0000
2	12	17	0	28	24	29	5	-15.6783	15.6782	-0.0001	1.8446	-10.1735	0.0000
2	12	18	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0518	0.0000
2	12	19	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	-0.0000
2	12	20	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	0.0000	9.0519
2	12	21	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-0.0000	10.1736
2	12	22	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0518	0.0000
2	12	23	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	0.0000
2	12	24	0	28	18	22	4	-15.6783	15.6784	-0.0000	1.8446	-9.0519	-0.0000
2	12	25	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	0.0000
2	12	26	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	0.0001	9.0519
2	12	27	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-0.0000	10.1736
2	12	28	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0518	0.0000
2	12	29	0	28	24	29	5	-15.6783	15.6782	0.0000	1.8446	-10.1736	-0.0000
2	12	30	0	28	18	22	4	-15.6782	15.6784	-0.0000	1.8446	-9.0519	-0.0000
2	12	31	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	-0.0000
2	12	32	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	-0.0000	9.0519
2	12	33	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	0.0000	10.1736
2	12	34	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0519	-0.0000
2	12	35	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-10.1736	0.0000
2	12	36	0	28	18	22	4	-15.6782	15.6783	0.0000	1.8446	-9.0519	-0.0000
2	12	37	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-10.1736	-0.0001
2	12	38	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	0.0000	9.0519
2	12	39	0	28	24	29	5	-15.6782	15.6783	0.0000	1.8446	0.0000	10.1736
2	12	40	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0519	-0.0000
2	12	41	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	-10.1736	-0.0000
2	12	42	0	28	18	22	4	-15.6783	15.6782	-0.0000	1.8446	-9.0519	0.0000
2	12	43	0	28	330	545	77	-703.5458	703.5458	3.3063	54.1288	28.9648	312.9613
2	12	44	0	28	24	29	5	-5.2100	5.2100	-27.4701	1.6535	-57.4756	-0.0000
2	12	45	0	28	24	29	5	-5.2100	5.2100	-27.4701	1.6535	0.0000	57.4756
2	12	46	0	28	24	29	5	-5.2100	5.2100	-27.4701	1.6605	-57.4756	0.0000
2	12	47	0	28	24	29	5	-5.2100	5.2100	-27.4702	1.6604	0.0000	57.4756
2	12	48	0	28	24	29	5	-5.1537	5.2662	-27.4702	1.6674	-57.4756	0.0000
2	12	49	0	28	24	29	5	-5.1537	5.2662	-27.4702	1.6674	-0.0000	57.4756
2	12	50	0	28	24	29	5	-5.1537	5.2662	-27.4702	1.6744	-57.4756	0.0001
2	12	51	0	28	24	29	5	-5.1537	5.2662	-27.4702	1.6744	-0.0001	57.4756
2	12	52	0	28	78	113	19	-90.0369	118.6824	-3.5090	10.7441	-69.9863	8.1961
2	12	53	0	28	78	113	19	-118.6824	90.0369	-3.5090	10.7441	-69.9863	8.1961
2	12	54	0	28	14	17	3	-45.6895	60.6824	-1.5224	1.5048	-0.5666	32.7611
2	12	55	0	28	14	17	3	-45.6894	60.6823	-1.5224	1.5048	-32.7611	0.5666
2	12	56	0	28	14	17	3	-60.6912	45.6891	-1.5224	1.5048	-32.7811	0.5666
2	12	57	0	28	14	17	3	-60.7000	45.6886	-1.5224	1.5048	-32.8013	0.5666
2	12	58	0	28	14	17	3	-85.0146	100.1412	-1.4974	1.4833	-0.4633	32.9523
2	12	59	0	28	14	17	3	-85.0147	100.1411	-1.4974	1.4833	-32.9524	0.4632
2	12	60	0	28	14	17	3	-60.6912	45.6891	-1.5224	1.5048	-0.5666	32.7811
2	12	61	0	28	14	17	3	-60.7000	45.6887	-1.5224	1.5048	-0.5666	32.8013
2	12	62	0	28	34	44	8	159.2345	261.8084	-8.0698	-2.8086	-112.2418	-18.3549
2	12	63	0	28	32	39	7	136.3747	316.5492	-16.3242	-3.9086	-0.3187	22.4622
2	12	64	0	28	40	53	9	138.6534	331.5513	-19.8083	-7.3907	-34.0120	16.1274
2	12	65	0	28	32	39	7	441.7684	544.3444	-21.0304	-17.9021	-209.9236	-149.3439
2	12	66	0	28	18	22	4	147.1887	328.4757	-14.6295	-11.2233	-29.0486	-3.9575
2	12	67	0	28	32	39	7	441.0352	543.6342	-19.8502	-18.1502	-256.4231	-195.6837
2	12	68	0	28	34	44	8	-51.1931	51.3808	-2.6306	2.6306	-51.4401	42.4468
2	12	69	0	28	32	39	7	-84.7807	95.3936	-6.2041	6.2114	0.0000	22.7809
2	12	70	0	28	43	56	10	-109.9954	82.9136	-7.3551	5.0624	-54.0731	-3.9470
2	12	71	0	28	32	39	7	-545.6452	-443.0692	-13.4700	-10.3417	-207.1362	-146.5566
2	12	72	0	28	18	22	4	-98.8529	82.4389	-2.2266	1.1677	-30.1280	-5.0675
2	12	73	0	28	32	39	7	-545.6382	-443.0395	-12.0287	-10.3279	-252.1267	-191.3867
2	12	74	0	28	16	19	3	-13.7016	13.7015	-3.1238	3.1238	-24.6807	34.1838
2	12	75	0	28	34	42	8	-45.3736	55.7419	-6.0895	6.5431	-0.0000	22.7099
2	12	76	0	28	40	53	9	-43.3341	70.3809	-7.2740	5.6193	3.8483	53.8186
2	12	77	0	28	16	19	3	-13.7026	13.7026	-2.3443	1.7699	-6.3854	19.2946
2	12	78	0	28	18	22	4	-43.0098	59.3677	-1.8745	1.6414	4.9284	29.9179
2	12	79	0	28	16	19	3	-13.7030	13.7030	-1.3524	1.3524	-6.3854	19.4783
2	12	80	0	28	16	19	3	-13.7016	13.7015	-3.1238	3.1238	-34.1838	24.6807
2	12	81	0	28	34	42	8	-45.3735	55.7419	-6.0896	6.5431	-22.7100	0.0000
2	12	82	0	28	40	53	9	-43.3341	70.3810	-7.2740	5.6193	-53.8186	-3.8483
2	12	83	0	28	18	22	4	-43.0098	59.3677	-1.8745	1.6414	-29.9178	-4.9283
2	12	84	0	28	16	19	3	-361.1396	-333.7336	-14.6064	-11.9016	-218.2756	-192.4120
2	12	85	0	28	16	19	3	-361.1406	-333.7355	-16.0118	-11.8975	-173.3531	-147.6732
2	12	86	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1838	24.6807
2	12	87	0	28	34	42	8	-45.3735	55.7419	-6.0895	6.5431	-0.0002	22.7098
2	12	88	0	28	40	53	9	-43.3343	70.3780	-7.2740	5.6193	3.8506	53.8224
2	12	89	0	28	18	22	4	-43.0015	59.3732	-2.1345	1.3814	4.9335	29.9143
2	12	90	0	28	16	19	3	-13.7030	13.7029	-1.6131	1.0917	-19.4782	6.3854
2	12	91	0	28	16	19	3	-13.7026	13.7025	-2.3443	1.7699	-19.2944	6.3854
2	12	92	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1838	24.6807
2	12	93	0	28	34	42	8	-45.3734	55.7419	-6.0896	6.5431	-22.7098	0.0002
2	12	94	0	28	40	53	9	-43.3341	70.3810	-7.2740	5.6193	-53.8183	-3.8481
2	12	95	0	28	16	19	3	-278.9315	-251.5264	-19.0572	-14.9430	-211.6599	-185.9800
2	12	96	0	28	18	22	4	-43.0010	59.3765	-2.1351	1.3809	-29.9177	-4.9283
2	12	97	0	28	16	19	3	-278.9305	-251.5246	-17.6518	-14.9470	-256.5824	-230.7188
2	12	98	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1838	24.6808
2	12	99	0	28	34	42	8	-45.3735	55.7419	-6.0896	6.5431	0.0001	22.7100
2	12	100	0	28	40	53	9	-43.3344	70.3780	-7.2740	5.6193	3.8507	53.8223
2	12	101	0	28	18	22	4	-43.0015	59.3732	-2.1345	1.3815	4.9337	29.9145
2	12	102	0	28	16	19	3	-13.7030	13.7030	-1.6131	1.0917	-19.4783	6.3853
2	12	103	0	28	16	19	3	-13.7026	13.7025	-2.3443	1.7699	-19.2944	6.3855
2	12	104	0	28	16	19	3	-13.7015	13.7015	-3.1238	3.1238	-34.1837	24.6808
2	12	105	0	28	34	42	8	-45.3735	55.7420	-6.0895	6.5431	-22.7099	0.0000
2	12	106	0	28	40	53	9	-43.3342	70.3810	-7.2740	5.6193	-53.8186	-3.8483
2	12	107	0	28	16	19	3	-196.7224	-169.3173	-22.1027	-17.9884	-249.9668	-224.2869
2	12	108	0	28	18	22	4	-43.0010	59.3765	-2.1351	1.3809	-29.9180	-4.9285
2	12	109	0	28	16	19	3	-196.7215	-169.3155	-20.6973	-17.9925	-294.8893	-269.0257
2	13	0	0	28	3924	5519	1049	-1204.7250	1204.7250	-95.8118	74.1267	-768.6506	314.3156
2	13	1	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	-0.0000
2	13	2	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	0.0000	9.0519
2	13	3	0	28	24	29	5	-15.6783	15.6783	0.0000	1.8446	0.0000	10.1736
2	13	4	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	-9.0519	-0.0000
2	13	5	0	28	24	29	5	-15.6783	15.6782	-0.0000	1.8446	-10.1736	0.0000
2	13	6	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	-9.0519	-0.0000
2	13	7	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	-10.1736	0.0000
2	13	8	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-0.0000	9.0519
2	13	9	0	28	24	29	5	-15.6783	15.6783	-0.0000	1.8446	0.0000	10.1736
2	13	10	0	28	18	22	4	-15.6783	15.6783	-0.0000	1.8446	-9.0518	0.0000
2	13	11	0	28	24	29	5	-15.6783	15.6782	-0.0000	1.8446	-10.1735	0.0000
2	13	12	0	28	18	22	4	-15.6783	15.6783	0.0000	1.8446	-9.0519	0.0000
