# The 1619 locator-like words the RTTI sweep refused, named at last.
# Produced by scripts/Ac6RttiRejects.java, read-only, no oracle. It re-runs
# SweepMsvcRtti's identical scan - same 811 vtables, same 1619 refusals -
# and records which step of the chain refused each candidate.
#
# reason is the first step that failed, in the sweep's own order:
# signature, type_out_of_range, hierarchy_out_of_range, name_unreadable,
# name_not_rtti, slot_unreadable, slot_not_code.
#
# Not one candidate reached the vtable test. Every refusal happened on the
# name, which is to say the word never pointed at a type descriptor at all,
# so no class was lost to this filter.
#
# name_bytes is the hex of whatever the sweep read where a decorated name
# should be, and empty when it could not be read at all. It is binary, and
# that is the point.
# image range 82000400..82ac3083
# hierarchy_out_of_range=1 name_not_rtti=1096 name_unreadable=522
# columns: at target reason block name_bytes following_word
0x8206a234	0x823f0724	hierarchy_out_of_range	.rdata	9421ffa048	0x00000000
0x8206a298	0x8206a29c	name_not_rtti	.rdata	826759b0	0x00000000
0x8206a2cc	0x8206a29c	name_not_rtti	.rdata	826759b0	0x00000000
0x8206a304	0x8206a2d0	name_unreadable	.rdata		0x00000000
0x8206a318	0x8206a31c	name_not_rtti	.rdata	8206a2b4	0x00000000
0x8206a354	0x8206a31c	name_not_rtti	.rdata	8206a2b4	0x00000000
0x8206a368	0x8206a36c	name_not_rtti	.rdata	8206a2b4	0x00000000
0x8206a3a4	0x8206a36c	name_not_rtti	.rdata	8206a2b4	0x00000000
0x8206a3b8	0x8206a3bc	name_not_rtti	.rdata	8206a2b4	0x00000000
0x8206a3f4	0x8206a3bc	name_not_rtti	.rdata	8206a2b4	0x00000000
0x8206a408	0x8206a40c	name_not_rtti	.rdata	8206a480	0x00000000
0x8206a444	0x8206a40c	name_not_rtti	.rdata	8206a480	0x82675a90
0x8206a460	0x8206a464	name_unreadable	.rdata		0x00000000
0x8206a498	0x8206a49c	name_unreadable	.rdata		0x00000000
0x8206a4c4	0x8206a4c8	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206a504	0x8206a4c8	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206a518	0x8206a51c	name_not_rtti	.rdata	8206a480	0x00000000
0x8206a554	0x8206a51c	name_not_rtti	.rdata	8206a480	0x82675fc4
0x8206a570	0x8206a574	name_unreadable	.rdata		0x00000000
0x8206a5a0	0x8206a5a4	name_not_rtti	.rdata	82675ff0	0x00000000
0x8206a5d4	0x8206a5a4	name_not_rtti	.rdata	82675ff0	0x00000000
0x8206a5e8	0x8206a5ec	name_not_rtti	.rdata	8206a5588206a480	0x00000000
0x8206a628	0x8206a5ec	name_not_rtti	.rdata	8206a5588206a480	0x00000000
0x8206a63c	0x8206a640	name_not_rtti	.rdata	8206a480	0x00000000
0x8206a678	0x8206a640	name_not_rtti	.rdata	8206a480	0x82676080
0x8206a694	0x8206a698	name_unreadable	.rdata		0x00000000
0x8206a6c4	0x8206a6c8	name_not_rtti	.rdata	8206a67c8206a480	0x00000000
0x8206a704	0x8206a6c8	name_not_rtti	.rdata	8206a67c8206a480	0x00000000
0x8206a738	0x8206a708	name_not_rtti	.rdata	82676208	0x00000000
0x8206a74c	0x8206a750	name_unreadable	.rdata		0x00000000
0x8206a784	0x8206a750	name_unreadable	.rdata		0x00000000
0x8206a798	0x8206a79c	name_not_rtti	.rdata	8267626c	0x00000000
0x8206a7cc	0x8206a79c	name_not_rtti	.rdata	8267626c	0x00000000
0x8206a7e0	0x8206a7e4	name_not_rtti	.rdata	826762b4	0x00000000
0x8206a814	0x8206a7e4	name_not_rtti	.rdata	826762b4	0x00000000
0x8206a828	0x8206a82c	name_unreadable	.rdata		0x00000000
0x8206a860	0x8206a82c	name_unreadable	.rdata		0x00000000
0x8206a874	0x8206a878	name_unreadable	.rdata		0x00000000
0x8206a8ac	0x8206a878	name_unreadable	.rdata		0x00000000
0x8206a8c0	0x8206a8c4	name_unreadable	.rdata		0x00000000
0x8206a8f8	0x8206a8c4	name_unreadable	.rdata		0x00000000
0x8206a90c	0x8206a910	name_unreadable	.rdata		0x00000000
0x8206a944	0x8206a910	name_unreadable	.rdata		0x00000000
0x8206a958	0x8206a95c	name_unreadable	.rdata		0x00000000
0x8206a990	0x8206a95c	name_unreadable	.rdata		0x00000000
0x8206a9a4	0x8206a9a8	name_unreadable	.rdata		0x00000000
0x8206a9dc	0x8206a9a8	name_unreadable	.rdata		0x00000000
0x8206a9f0	0x8206a9f4	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206aa30	0x8206a9f4	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206aa44	0x8206aa48	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206aa84	0x8206aa48	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206aa98	0x8206aa9c	name_not_rtti	.rdata	8267642c	0x00000000
0x8206aacc	0x8206aa9c	name_not_rtti	.rdata	8267642c	0x00000000
0x8206aae0	0x8206aae4	name_unreadable	.rdata		0x00000000
0x8206ab18	0x8206aae4	name_unreadable	.rdata		0x00000000
0x8206ab2c	0x8206ab30	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206ab6c	0x8206ab30	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206ab80	0x8206ab84	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206abc0	0x8206ab84	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206abd4	0x8206abd8	name_not_rtti	.rdata	82676584	0x00000000
0x8206ac08	0x8206abd8	name_not_rtti	.rdata	82676584	0x00000000
0x8206ac1c	0x8206ac20	name_unreadable	.rdata		0x00000000
0x8206ac54	0x8206ac20	name_unreadable	.rdata		0x00000000
0x8206ac68	0x8206ac6c	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206aca8	0x8206ac6c	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206acbc	0x8206acc0	name_not_rtti	.rdata	8206a480	0x00000000
0x8206acf8	0x8206acc0	name_not_rtti	.rdata	8206a480	0x8267661c
0x8206ad14	0x8206ad18	name_unreadable	.rdata		0x00000000
0x8206ad44	0x8206ad48	name_not_rtti	.rdata	8206acfc8206a480	0x00000000
0x8206ad84	0x8206ad48	name_not_rtti	.rdata	8206acfc8206a480	0x00000000
0x8206ad98	0x8206ad9c	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206add8	0x8206ad9c	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206adec	0x8206adf0	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206ae2c	0x8206adf0	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206ae40	0x8206ae44	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206ae80	0x8206ae44	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206ae94	0x8206ae98	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206aed4	0x8206ae98	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206aee8	0x8206aeec	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206af28	0x8206aeec	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206af3c	0x8206af40	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206af7c	0x8206af40	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206af90	0x8206af94	name_unreadable	.rdata		0x00000000
0x8206afc8	0x8206af94	name_unreadable	.rdata		0x00000000
0x8206afdc	0x8206afe0	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206b01c	0x8206afe0	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206b030	0x8206b034	name_not_rtti	.rdata	82678404	0x00000000
0x8206b064	0x8206b034	name_not_rtti	.rdata	82678404	0x00000000
0x8206b078	0x8206b07c	name_unreadable	.rdata		0x00000000
0x8206b0b0	0x8206b07c	name_unreadable	.rdata		0x00000000
0x8206b0c4	0x8206b0c8	name_unreadable	.rdata		0x00000000
0x8206b0fc	0x8206b0c8	name_unreadable	.rdata		0x00000000
0x8206b110	0x8206b114	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206b150	0x8206b114	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206b164	0x8206b168	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206b1a4	0x8206b168	name_not_rtti	.rdata	8206a4488206a480	0x00000000
0x8206b1b8	0x8206b1bc	name_not_rtti	.rdata	8206a5588206a480	0x00000000
0x8206b1f8	0x8206b1bc	name_not_rtti	.rdata	8206a5588206a480	0x00000000
0x8206b20c	0x8206b210	name_not_rtti	.rdata	8206a5588206a480	0x00000000
0x8206b24c	0x8206b210	name_not_rtti	.rdata	8206a5588206a480	0x00000000
0x8206b260	0x8206b264	name_not_rtti	.rdata	8206a5588206a480	0x00000000
0x8206b2a0	0x8206b264	name_not_rtti	.rdata	8206a5588206a480	0x00000000
