# MSVC vtables of default.xex, named from their RTTI locator.
# Produced by scripts/SweepMsvcRtti.java, read-only, no oracle.
# An entry appears only when the whole chain resolves - locator, type
# descriptor, a name beginning '.?A', and a first slot pointing into an
# executable block. 1619 locator-like words failed a step; they are counted in
# the sweep summary and deliberately not named here.
# class is a best-effort undecoration and is EMPTY for templates: the mangled
# column is the authoritative name. bases are 'mangled@mdisp' in decimal.
# columns: vtable class bases mangled
0x82010b78	NU::Draw::DrawOrderBase	.?AVDrawOrderBase@Draw@NU@@@0	.?AVDrawOrderBase@Draw@NU@@
0x82010b88	NU::Draw::OrderNoSortFar	.?AVOrderNoSortFar@Draw@NU@@@0;.?AVOrderNoSort@Draw@NU@@@0;.?AVDrawOrderBase@Draw@NU@@@0	.?AVOrderNoSortFar@Draw@NU@@
0x82010b98	NU::Draw::OrderOpaque	.?AVOrderOpaque@Draw@NU@@@0;.?AVOrderNoSort@Draw@NU@@@0;.?AVDrawOrderBase@Draw@NU@@@0	.?AVOrderOpaque@Draw@NU@@
0x82010ba8	NU::Draw::OrderNoSortNear	.?AVOrderNoSortNear@Draw@NU@@@0;.?AVOrderNoSort@Draw@NU@@@0;.?AVDrawOrderBase@Draw@NU@@@0	.?AVOrderNoSortNear@Draw@NU@@
0x82010bd4	NU::Draw::RequestBase	.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestBase@Draw@NU@@
0x82010bf4	NU::Xenon::RequestDrawCallback	.?AVRequestDrawCallback@Xenon@NU@@@0;.?AVRequestBase@Draw@NU@@@0;.?AUIRequestBase@Draw@NU@@@0;.?AUnuIUnknown@@@0	.?AVRequestDrawCallback@Xenon@NU@@
0x82010c44	std::exception	.?AVexception@std@@@0	.?AVexception@std@@
0x82010c54	std::bad_alloc	.?AVbad_alloc@std@@@0;.?AVexception@std@@@0	.?AVbad_alloc@std@@
0x82010ca0	std::logic_error	.?AVlogic_error@std@@@0;.?AVexception@std@@@0	.?AVlogic_error@std@@
0x82010cb0	std::out_of_range	.?AVout_of_range@std@@@0;.?AVlogic_error@std@@@0;.?AVexception@std@@@0	.?AVout_of_range@std@@
0x82010cc0	NU::Texture::TextureContext	.?AVTextureContext@Texture@NU@@@0;.?AUITextureContext@Texture@NU@@@0;.?AUnuIUnknown@@@0	.?AVTextureContext@Texture@NU@@
0x82010cfc	NU::Texture::TextureImplementCommon	.?AVTextureImplementCommon@Texture@NU@@@0	.?AVTextureImplementCommon@Texture@NU@@
