index	group	archive	codec	source_offset	stored_size	expanded_size	source_end
0	0x00010000	DATA00.PAC	mode1-xor-deflate	0	3389860	9120864	3389860
1	0x00010000	DATA00.PAC	mode1-xor-deflate	3407872	10615729	22421504	14023601
2	0x00010000	DATA00.PAC	mode1-xor-deflate	14024704	797281	3509319	14821985
3	0x00010000	DATA00.PAC	mode1-xor-deflate	14843904	317780	1936455	15161684
4	0x00010000	DATA00.PAC	mode1-xor-deflate	15171584	326241	2002010	15497825
5	0x00010000	DATA00.PAC	mode1-xor-deflate	15499264	337598	2067546	15836862
6	0x00010000	DATA00.PAC	mode1-xor-deflate	15859712	328739	2002010	16188451
7	0x00010000	DATA00.PAC	mode1-xor-deflate	16220160	336919	2133082	16557079
8	0x00010000	DATA00.PAC	mode1-xor-deflate	16580608	335336	2067546	16915944
9	0x00010000	DATA00.PAC	mode1-xor-deflate	16941056	13234234	42446032	30175290
10	0x00010000	DATA00.PAC	mode1-xor-deflate	30179328	2860059	10232304	33039387
11	0x00010000	DATA00.PAC	mode1-xor-deflate	33062912	5320525	18162160	38383437
12	0x00010000	DATA00.PAC	mode1-xor-deflate	38404096	6353381	21238256	44757477
13	0x00010000	DATA00.PAC	mode1-xor-deflate	44761088	12239540	37163504	57000628
14	0x00010000	DATA00.PAC	mode1-xor-deflate	57016320	7918063	27320816	64934383
15	0x00010000	DATA00.PAC	mode1-xor-deflate	64946176	8783785	30120272	73729961
16	0x00010000	DATA00.PAC	mode1-xor-deflate	73760768	9510233	32293360	83271001
17	0x00010000	DATA00.PAC	mode1-xor-deflate	83296256	12644179	36000976	95940435
18	0x00010000	DATA00.PAC	mode1-xor-deflate	95944704	8735481	28144112	104680185
19	0x00010000	DATA00.PAC	mode1-xor-deflate	104693760	8228662	29290992	112922422
20	0x00010000	DATA00.PAC	mode1-xor-deflate	112951296	3479562	12653040	116430858
21	0x00010000	DATA00.PAC	mode1-xor-deflate	116457472	13628378	48476816	130085850
22	0x00010000	DATA00.PAC	mode1-xor-deflate	130088960	3508627	13681136	133597587
23	0x00010000	DATA00.PAC	mode1-xor-deflate	133627904	17669780	55944256	151297684
24	0x00010000	DATA00.PAC	mode1-xor-deflate	151322624	427306	3650016	151749930
25	0x00010000	DATA00.PAC	mode1-xor-deflate	151781376	1025512	4534752	152806888
26	0x00010000	DATA00.PAC	mode1-xor-deflate	152829952	689559	3482080	153519511
27	0x00010000	DATA00.PAC	mode1-xor-deflate	153550848	972203	3920352	154523051
28	0x00010000	DATA00.PAC	mode1-xor-deflate	154533888	718119	3404256	155252007
29	0x00010000	DATA00.PAC	mode1-xor-deflate	155254784	2031898	8274400	157286682
30	0x00010000	DATA00.PAC	mode1-xor-deflate	157319168	661661	3199456	157980829
31	0x00010000	DATA00.PAC	mode1-xor-deflate	158007296	4883225	18217584	162890521
32	0x00010000	DATA00.PAC	mode1-xor-deflate	162922496	1114491	4070304	164036987
33	0x00010000	DATA00.PAC	mode1-xor-deflate	164069376	287516	1354128	164356892
34	0x00010000	DATA00.PAC	mode1-xor-deflate	164364288	531403	2640416	164895691
35	0x00010000	DATA00.PAC	mode1-xor-deflate	164921344	682698	4263648	165604042
36	0x00010000	DATA00.PAC	mode1-xor-deflate	165609472	2906647	11845296	168516119
37	0x00010000	DATA00.PAC	mode1-xor-deflate	168525824	3975934	13665072	172501758
38	0x00010000	DATA00.PAC	mode1-xor-deflate	172523520	3006738	10357856	175530258
39	0x00020000	DATA00.PAC	mode1-xor-raw	175538176	928	928	175539104
40	0x00020000	DATA00.PAC	mode1-xor-raw	175570944	928	928	175571872
41	0x00010000	DATA00.PAC	mode1-xor-deflate	175603712	320362	2458928	175924074
42	0x00010000	DATA00.PAC	mode1-xor-deflate	175931392	1012006	5753424	176943398
43	0x00010000	DATA00.PAC	mode1-xor-deflate	176947200	2479084	18878736	179426284
44	0x00010000	DATA00.PAC	mode1-xor-deflate	179437568	2609382	8409104	182046950
45	0x00010000	DATA00.PAC	mode1-xor-deflate	182059008	927436	4517424	182986444
46	0x00020000	DATA00.PAC	mode1-xor-raw	183009280	928	928	183010208
47	0x00020000	DATA00.PAC	mode1-xor-raw	183042048	928	928	183042976
48	0x00010000	DATA00.PAC	mode1-xor-deflate	183074816	6572314	22698896	189647130
49	0x00010000	DATA00.PAC	mode1-xor-deflate	189661184	7845751	21409840	197506935
50	0x00010000	DATA00.PAC	mode1-xor-deflate	197525504	287518	1354128	197813022
51	0x00020000	DATA00.PAC	mode1-xor-raw	197820416	4592	4592	197825008
52	0x00020000	DATA00.PAC	mode1-xor-raw	197853184	4592	4592	197857776
53	0x00020000	DATA00.PAC	mode1-xor-raw	197885952	4592	4592	197890544
54	0x00020000	DATA00.PAC	mode1-xor-raw	197918720	4592	4592	197923312
55	0x00020000	DATA00.PAC	mode1-xor-raw	197951488	4592	4592	197956080
56	0x00020000	DATA00.PAC	mode1-xor-raw	197984256	4592	4592	197988848
57	0x00020000	DATA00.PAC	mode1-xor-raw	198017024	4592	4592	198021616
58	0x00020000	DATA00.PAC	mode1-xor-raw	198049792	4592	4592	198054384
59	0x00020000	DATA00.PAC	mode1-xor-raw	198082560	4592	4592	198087152
60	0x00020000	DATA00.PAC	mode1-xor-raw	198115328	4592	4592	198119920
61	0x00020000	DATA00.PAC	mode1-xor-raw	198148096	4592	4592	198152688
62	0x00020000	DATA00.PAC	mode1-xor-raw	198180864	4592	4592	198185456
63	0x00020000	DATA00.PAC	mode1-xor-raw	198213632	4592	4592	198218224
64	0x00020000	DATA00.PAC	mode1-xor-raw	198246400	4592	4592	198250992
65	0x00020000	DATA00.PAC	mode1-xor-raw	198279168	4592	4592	198283760
66	0x00020000	DATA00.PAC	mode1-xor-raw	198311936	4592	4592	198316528
