record_index,enable_mask,metric_token,channel,table_address,consumer
0,0x00000002,0x00020001,0,0x823C2EA8,0x821ADBB4 event 255 replay
1,0x00000008,0x00020003,3,0x823C2EB4,0x821ADBB4 event 255 replay
2,0x00000010,0x00020004,4,0x823C2EC0,0x821ADBB4 event 255 replay
3,0x00000020,0x00020005,5,0x823C2ECC,0x821ADBB4 event 255 replay
4,0x00000040,0x00020006,6,0x823C2ED8,0x821ADBB4 event 255 replay
5,0x00000080,0x00020007,7,0x823C2EE4,0x821ADBB4 event 255 replay
6,0x00000100,0x00020008,8,0x823C2EF0,0x821ADBB4 event 255 replay
7,0x00000200,0x00020009,9,0x823C2EFC,0x821ADBB4 event 255 replay
8,0x00000400,0x0002000A,10,0x823C2F08,0x821ADBB4 event 255 replay
9,0x00000800,0x0002000B,11,0x823C2F14,0x821ADBB4 event 255 replay
10,0x00001000,0x0002000C,12,0x823C2F20,0x821ADBB4 event 255 replay
11,0x00002000,0x0002000D,13,0x823C2F2C,0x821ADBB4 event 255 replay
12,0x00004000,0x0002000E,14,0x823C2F38,0x821ADBB4 event 255 replay
13,0x00008000,0x0002000F,15,0x823C2F44,0x821ADBB4 event 255 replay
14,0x00010000,0x00020010,16,0x823C2F50,0x821ADBB4 event 255 replay
15,0x00020000,0x00020011,17,0x823C2F5C,0x821ADBB4 event 255 replay
16,0x00040000,0x00020012,18,0x823C2F68,0x821ADBB4 event 255 replay
