begin,end_exclusive,instructions,sha256,role
0x821A5390,0x821A5440,44,69cdc3705fab26d4c0cb9a2012a5a1750a6d822d736c7e671a1982af13b246bc,affinity wrapper
0x821ADAB8,0x821ADC78,112,723dcd6f1680e5bfa22657510176790ee9fec54c301b3d651a07a468ca4fdc85,renderer lifecycle callback
0x821ADC78,0x821ADD90,70,22ea5482a6bb9266f0de8a4bf275476efc6be36efbcaa2ad15ef724bcd4a721a,renderer callback registration
0x821C57D0,0x821C5D64,357,ce1011ec7e0d06aa3feeff0f15bbd06d64c5d747a1f95c96f040a890d30bf657,per-frame renderer path
0x821C64E8,0x821C6704,135,746f68c2f835e86f3c1e9f2857f1babc2176e5cdc4e4985f11dffb4df282ad9c,renderer owner initialiser
0x821BD970,0x821BDC80,196,27359c2d2e01669fe3c0e3f945790189414b403a51c3b78ff02b0d066574cf40,renderer packet processor
0x82355F70,0x82356040,52,c36f138d43b6cd91c7d22ccc1587e68c44096ca2641960cc9c4f7c0914e8535d,global audio constructor
0x82356070,0x82356410,232,8b89b197c8beb04d4abe5eb7c514f330a85dbbbb3059e495db3d198f097c831a,global audio initialiser
0x82357FC8,0x823580B8,60,308a9d94cdaebf3ddb15a3747e76e9e8a89473fa21ce26716850bbb13e1a3dd1,source voice processing
0x8236F7C8,0x8236F8E8,72,648e53b9a1473c409db4a189d1aaf2343689a7267ec316a428f318438320185f,processor descriptor selector
0x82354390,0x82354AB0,456,09ec002f7f4a2ee64c100223022ce5eb5210e517fd49a55f61d663db897d026e,decoder processing
0x8234FCB0,0x8234FD30,32,541bef6be3b6f389dbacdee9dc4e40a2e2ad41ab525438fc902aa65efb624d39,descriptor factory
