case	field	retail	port	verdict
digital-clear	+2096	0.3777777850627899	0.3777777850627899	ok
digital-clear	+2100	-0.949999988079071	-0.949999988079071	ok
digital-clear	+2104	0.125	0.125	ok
digital-clear	+2108	-0.375	-0.375	ok
digital-clear	+2112	0.0	0.0	ok
digital-clear	+2116	0.0	0.0	ok
digital-both	+2096	0.3777777850627899	0.3777777850627899	ok
digital-both	+2100	-0.949999988079071	-0.949999988079071	ok
digital-both	+2104	0.125	0.125	ok
digital-both	+2108	-0.375	-0.375	ok
digital-both	+2112	1.0	1.0	ok
digital-both	+2116	1.0	1.0	ok
digital-bit2	+2096	0.3777777850627899	0.3777777850627899	ok
digital-bit2	+2100	-0.949999988079071	-0.949999988079071	ok
digital-bit2	+2104	0.125	0.125	ok
digital-bit2	+2108	-0.375	-0.375	ok
digital-bit2	+2112	1.0	1.0	ok
digital-bit2	+2116	0.0	0.0	ok
digital-bit3	+2096	0.3777777850627899	0.3777777850627899	ok
digital-bit3	+2100	-0.949999988079071	-0.949999988079071	ok
digital-bit3	+2104	0.125	0.125	ok
digital-bit3	+2108	-0.375	-0.375	ok
digital-bit3	+2112	0.0	0.0	ok
digital-bit3	+2116	1.0	1.0	ok
analog-a-clear	+2096	0.0	0.0	ok
analog-a-clear	+2100	0.0	0.0	ok
analog-a-clear	+2104	0.125	0.125	ok
analog-a-clear	+2108	-0.375	-0.375	ok
analog-a-clear	+2112	0.6171875	0.6171875	ok
analog-a-clear	+2116	-0.8203125	-0.8203125	ok
analog-a-holds	+2096	1.0	1.0	ok
analog-a-holds	+2100	1.0	1.0	ok
analog-a-holds	+2104	0.125	0.125	ok
analog-a-holds	+2108	-0.375	-0.375	ok
analog-a-holds	+2112	0.6171875	0.6171875	ok
analog-a-holds	+2116	-0.8203125	-0.8203125	ok
analog-a-bit4	+2096	1.0	1.0	ok
analog-a-bit4	+2100	0.0	0.0	ok
analog-a-bit4	+2104	0.125	0.125	ok
analog-a-bit4	+2108	-0.375	-0.375	ok
analog-a-bit4	+2112	0.6171875	0.6171875	ok
analog-a-bit4	+2116	-0.8203125	-0.8203125	ok
analog-a-bit5	+2096	0.0	0.0	ok
analog-a-bit5	+2100	1.0	1.0	ok
analog-a-bit5	+2104	0.125	0.125	ok
analog-a-bit5	+2108	-0.375	-0.375	ok
analog-a-bit5	+2112	0.6171875	0.6171875	ok
analog-a-bit5	+2116	-0.8203125	-0.8203125	ok
analog-b-clear	+2096	-0.8203125	-0.8203125	ok
analog-b-clear	+2100	0.6171875	0.6171875	ok
analog-b-clear	+2104	0.125	0.125	ok
analog-b-clear	+2108	-0.375	-0.375	ok
analog-b-clear	+2112	0.0	0.0	ok
analog-b-clear	+2116	0.0	0.0	ok
analog-b-axes	+2096	-0.8203125	-0.8203125	ok
analog-b-axes	+2100	0.6171875	0.6171875	ok
analog-b-axes	+2104	0.125	0.125	ok
analog-b-axes	+2108	-0.375	-0.375	ok
analog-b-axes	+2112	1.0	1.0	ok
analog-b-axes	+2116	1.0	1.0	ok
analog-b-bit5	+2096	-0.8203125	-0.8203125	ok
analog-b-bit5	+2100	0.6171875	0.6171875	ok
analog-b-bit5	+2104	0.125	0.125	ok
analog-b-bit5	+2108	-0.375	-0.375	ok
analog-b-bit5	+2112	1.0	1.0	ok
analog-b-bit5	+2116	0.0	0.0	ok
analog-b-bits23	+2096	-0.8203125	-0.8203125	ok
analog-b-bits23	+2100	0.6171875	0.6171875	ok
analog-b-bits23	+2104	0.125	0.125	ok
analog-b-bits23	+2108	-0.375	-0.375	ok
analog-b-bits23	+2112	0.0	0.0	ok
analog-b-bits23	+2116	0.0	0.0	ok
analog-b-noise	+2096	-0.8203125	-0.8203125	ok
analog-b-noise	+2100	0.6171875	0.6171875	ok
analog-b-noise	+2104	0.125	0.125	ok
analog-b-noise	+2108	-0.375	-0.375	ok
analog-b-noise	+2112	0.0	0.0	ok
analog-b-noise	+2116	0.0	0.0	ok
