# 0x82380570 against asin and 0x820936E8 against atan2, both in
# single precision. `ulp` is the distance in representable float32
# steps; 0 means the same word.
# case	retail	libm	ulp	what was run
asin-0	-1.5707963705062866	-1.5707963705062866	0	0x82380570 at -1.0
asin-1	-1.5703080892562866	-1.5703080892562866	0	0x82380570 at -0.9999999
asin-2	-1.4292569160461426	-1.4292569160461426	0	0x82380570 at -0.99
asin-3	-0.8480620980262756	-0.8480620980262756	0	0x82380570 at -0.75
asin-4	-0.5235987901687622	-0.5235987901687622	0	0x82380570 at -0.5
asin-5	-0.252680242061615	-0.252680242061615	0	0x82380570 at -0.25
asin-6	-0.06254076212644577	-0.06254076212644577	0	0x82380570 at -0.0625
asin-7	-9.999999747378752e-05	-9.999999747378752e-05	0	0x82380570 at -0.0001
asin-8	-0.0	-0.0	0	0x82380570 at -0.0
asin-9	0.0	0.0	0	0x82380570 at 0.0
asin-10	9.999999747378752e-05	9.999999747378752e-05	0	0x82380570 at 0.0001
asin-11	0.06254076212644577	0.06254076212644577	0	0x82380570 at 0.0625
asin-12	0.252680242061615	0.252680242061615	0	0x82380570 at 0.25
asin-13	0.5235987901687622	0.5235987901687622	0	0x82380570 at 0.5
asin-14	0.7853982448577881	0.7853982448577881	0	0x82380570 at 0.7071068
asin-15	0.8480620980262756	0.8480620980262756	0	0x82380570 at 0.75
asin-16	1.1197694540023804	1.1197694540023804	0	0x82380570 at 0.9
asin-17	1.4292569160461426	1.4292569160461426	0	0x82380570 at 0.99
asin-18	1.5703080892562866	1.5703080892562866	0	0x82380570 at 0.9999999
asin-19	1.5707963705062866	1.5707963705062866	0	0x82380570 at 1.0
atan2-0	0.0	0.0	0	0x820936E8 at (0.0, 1.0)
atan2-1	1.5707963705062866	1.5707963705062866	0	0x820936E8 at (1.0, 0.0)
atan2-2	3.1415927410125732	3.1415927410125732	0	0x820936E8 at (0.0, -1.0)
atan2-3	-1.5707963705062866	-1.5707963705062866	0	0x820936E8 at (-1.0, 0.0)
atan2-4	0.7853981852531433	0.7853981852531433	0	0x820936E8 at (1.0, 1.0)
atan2-5	2.356194496154785	2.356194496154785	0	0x820936E8 at (1.0, -1.0)
atan2-6	-0.7853981852531433	-0.7853981852531433	0	0x820936E8 at (-1.0, 1.0)
atan2-7	-2.356194496154785	-2.356194496154785	0	0x820936E8 at (-1.0, -1.0)
atan2-8	0.244978666305542	0.244978666305542	0	0x820936E8 at (0.5, 2.0)
atan2-9	1.3258177042007446	1.3258177042007446	0	0x820936E8 at (2.0, 0.5)
atan2-10	-0.244978666305542	-0.244978666305542	0	0x820936E8 at (-0.5, 2.0)
atan2-11	-1.8157750368118286	-1.8157750368118286	0	0x820936E8 at (-2.0, -0.5)
atan2-12	2.762941598892212	2.762941598892212	0	0x820936E8 at (3.7, -9.3)
atan2-13	-1.5556976795196533	-1.5556976795196533	0	0x820936E8 at (-907.3, 13.7)
atan2-14	0.19362197816371918	0.19362197816371918	0	0x820936E8 at (0.33333331, 1.7)
atan2-15	0.0	0.0	0	0x820936E8 at (1e-06, 1e-06)
atan2-16	0.0	0.0	0	0x820936E8 at (1.5e-05, 1.5e-05)
atan2-17	0.0	0.0	0	0x820936E8 at (0.0, 0.0)
atan2-18	9.999999974752427e-07	9.999999974752427e-07	0	0x820936E8 at (1e-06, 1.0)
atan2-19	1.5707952976226807	1.5707952976226807	0	0x820936E8 at (1.0, 1e-06)
atan2-20	0.7853981852531433	0.7853981852531433	0	0x820936E8 at (1.52587890625e-05, 1.52587890625e-05)
atan2-21	0.7616904973983765	0.7616904973983765	0	0x820936E8 at (1.5258789e-05, 1.6e-05)
