# The contracted flight chain, stepped 180 times at 1/60 s.
# Produced by ac6-retail-flight-session-tests --emit-trajectory.
#
# The stick: one second of pitch, one of roll, one centred. Nothing here
# is retail data -- the aircraft numbers are the base constructor's
# defaults and the gains are chosen. What IS retail is every rule the
# chain applies to them, each with its own micro-execution differential.
#
# POSITION IS ABSENT, and not by omission: the live model's position step
# is 0x823042D0, which cycle 1383 showed depends on vrefp and vrsqrtefp,
# estimate instructions whose exact bits belong to the console. The
# aeroplane changes attitude here; it does not move.
#
# frame	cmd36	cmd44	cmd40	at304	at308	at312	rate144	row0x	row0y	row0z	row1x	row1y	row1z	row2x	row2y	row2z
0	1	0	0	0.133333355	0	0	0.0111111132	1	0	0	0	1	2.77036452e-05	0	-2.77036452e-05	1
1	1	0	0	0.25333336	0	0	0.0321300477	1	0	0	0	1	8.0340571e-05	0	-8.0340571e-05	1
2	1	0	0	0.36133337	0	0	0.0620857738	1	0	0	0	1	0.000155417452	0	-0.000155417452	1
3	1	0	0	0.458533376	0	0	0.100185372	1	0	0	0	1	0.000250690267	0	-0.000250690267	1
4	1	0	0	0.546013355	0	0	0.145773232	1	0	0	0	1	0.000364139443	0	-0.000364139443	1
5	1	0	0	0.624745369	0	0	0.19829984	1	0	0	0	0.99999994	0.000493947358	0	-0.000493947358	0.99999994
6	1	0	0	0.695604146	0	0	0.257297635	1	0	0	0	0.999999881	0.000638478086	0	-0.000638478086	0.999999881
7	1	0	0	0.759377062	0	0	0.322362274	1	0	0	0	0.999999762	0.000796259381	0	-0.000796259381	0.999999762
8	1	0	0	0.816772699	0	0	0.393137753	1	0	0	0	0.999999642	0.000965966145	0	-0.000965966145	0.999999642
9	1	0	0	0.868428767	0	0	0.469304532	1	0	0	0	0.999999464	0.00114640594	0	-0.00114640594	0.999999464
10	1	0	0	0.914919257	0	0	0.550570309	1	0	0	0	0.999999225	0.00133650529	0	-0.00133650529	0.999999225
11	1	0	0	0.956760645	0	0	0.636662126	1	0	0	0	0.999998987	0.0015352983	0	-0.0015352983	0.999998987
