# The owner of the flight position integrator sub_82303110.
#
# Cycle 1368 established the integrator: three lfs/fmadds/stfs at 72(r30),
# 68(r30), 64(r30) with the factor 0.2777777910232544 (1/3.6) at 0x82069B40
# and a floor clamp of 10.0 at 0x82003214 on the middle component only.
# Cycle 1369 established that it has NO direct caller: its only non-.pdata
# reference is one .rdata word at 0x8200F2EC, slot +0x7C (index 31) of a
# 36-slot vtable based at 0x8200F270, and that vtable holds ZERO at -4.
#
# This file is cycle 1370: the class that owns that vtable, and the object
# that owns that class. Produced by
#   tools/map_object_layout.py CORPUS analysis-input/ACE6_X360.exe ADDR --tsv
# The three RTTI names are read from the COL chain at vtable-4; the rest of
# the vtables in this file genuinely have no COL and are among the 306
# unnamed vtables counted at cycle 1348.
#
# ctor          the constructor the row was read from
# kind          install = a pointer written into the object
#               construct = a bl taken with r3 = this + this_offset
# site          the instruction
# this_offset   byte offset from the constructor's own this
# value         the installed pointer, or the called constructor
# name          the RTTI class name at value-4, empty when there is none
ctor	kind	site	this_offset	value	name
0x8222BEC8	install	0x8222BF10	544	0x82054DB0	.?AVCAce6Thread@ACE6@@
0x8222BEC8	install	0x8222BF14	0	0x82007A10	
0x8222BEC8	install	0x8222BF18	544	0x82007A08	
0x8222BEC8	install	0x8222BF78	1356	0x82008D34	
0x8222BEC8	install	0x8222BF7C	1372	0x82054DC4	.?AVCAce6ObjDesc@ACE6@@
0x8222BEC8	install	0x8222BFC4	4928	0x82054D94	.?AVCGaLocator@galib@@
0x8222BEC8	install	0x8222BFE4	5044	0x82054DC4	.?AVCAce6ObjDesc@ACE6@@
0x8222BEC8	install	0x8222C038	7680	0x82054D94	.?AVCGaLocator@galib@@
0x8222BEC8	install	0x8222C064	7792	0x82054D94	.?AVCGaLocator@galib@@
0x8222BEC8	install	0x8222C084	7904	0x82054D94	.?AVCGaLocator@galib@@
0x8222BEC8	install	0x8222C0A8	8016	0x82054D94	.?AVCGaLocator@galib@@
0x8222BEC8	install	0x8222C0D4	8128	0x82054D94	.?AVCGaLocator@galib@@
0x8222BEC8	install	0x8222C128	10592	0x82054D94	.?AVCGaLocator@galib@@
0x8222BEC8	construct	0x8222BECC	0	0x82382EF4	
0x8222BEC8	construct	0x8222BEE0	0	0x822FD2C8	
0x8222BEC8	construct	0x8222BF5C	672	0x823008F8	
0x8222BEC8	construct	0x8222BF88	1388	0x82306CC8	
0x8222BEC8	construct	0x8222BF90	1776	0x822AA8F0	
0x8222BEC8	construct	0x8222BF98	2224	0x82302B28	
0x8222BEC8	construct	0x8222BFA4	3536	0x82306C28	
0x8222BEC8	construct	0x8222BFF8	6192	0x82224DE8	
0x8222BEC8	construct	0x8222C008	6480	0x82224DE8	
0x8222BEC8	construct	0x8222C100	9460	0x8229DB50	
0x8222BEC8	construct	0x8222C10C	10240	0x822FC298	
0x8222BEC8	construct	0x8222C154	0	0x82299878	
0x82293C28	install	0x82293C5C	0	0x82009130	
0x82293C28	install	0x82293C60	544	0x82009128	
0x82293C28	construct	0x82293C40	0	0x8222BEC8	
0x82293C28	construct	0x82293C64	10672	0x82329640	
0x82302B28	install	0x82302B4C	0	0x8200F270	
0x82302B28	construct	0x82302B3C	0	0x82282220	
0x82282220	install	0x82282258	0	0x82008B10	
0x82282220	install	0x82282300	428	0x82008D34	
0x82282220	construct	0x8228223C	0	0x823270E0	
0x82282220	construct	0x82282308	428	0x822A5FA8	
0x82282220	construct	0x82282310	544	0x82282090	
