# CALLOTHER p-code operations emitted over 82000000..82400000, 868523 instructions.
# Produced by scripts/Ac6CallOtherCensus.java. Read-only, no oracle.
# A name here is an instruction the emulator will refuse unless the
# harness registers a behaviour for it.
# columns: pcodeop count first_site mnemonic
vectorMergeHighWord	4228	820998e8	vmrghw
vectorMergeLowWord	1542	820998f4	vmrglw
loadVectorLeftIndexed128	1167	820a1450	lvlx
vectorMultiplyAddFloatingPoint	1096	8209ca6c	vmaddfp
trapWord	824	820b77d4	twi
vectorRotateLeftImmediateMaskInsert128	734	8209cb10	vrlimi128
vectorNegativeMultiplySubtractFloatingPoint	708	8209ca68	vnmsubfp
vectorConvertFromSignedFixedPointWord	591	8209ca4c	vcfsx
vectorSubtractFloatingPoint	585	8209eaa8	vsubfp
vectorConditionalSelect	514	8209d9ac	vsel
vectorCompareEqualToFloatingPoint	442	8209d998	vcmpeqfp
storeVectorLeftIndexed128	282	8210be14	stvlx
vectorReciprocalSquareRootEstimateFloatingPoint	274	8209ca54	vrsqrtefp
vectorLogicalAnd	270	82093794	vand
vectorUnpackD3D128	264	8209caa0	vupkd3d128
vectorReciprocalEstimateFloatingPoint	244	8209d9b8	vrefp
dataCacheBlockTouch	217	821ddee0	dcbt
storeVectorElementWordIndexed	198	820b2f30	stvewx
vectorAddFloatingPoint	188	8209da70	vaddfp
vectorUnpackHighSignedHalfWord	176	823c0c04	vupkhsh
vectorPermute	161	82105940	vperm
altv207_13	128	821f6214	vcmpequd
altv300_27	128	821f635c	vcmpnezb.
vectorUnpackLowSignedHalfWord	91	823c0c14	vupklsh
loadVectorRightIndexed128	78	820b21e0	lvrx
vectorConvertFromUnsignedFixedPointWord	76	823c0c38	vcfux
storeWordConditionalIndexed	75	8214a9e0	stwcx.
dataCacheBlockFlush	75	821af86c	dcbf
vectorUnpackHighSignedByte	72	823c262c	vupkhsb
vectorSplatImmediateSignedByte	58	821f3720	vspltisb
storeVectorRightIndexed128	54	8210be28	stvrx
vectorShiftRight	40	823c482c	vsr
dataCacheBlockClearToZero	37	821ede9c	dcbzl
vectorShiftRightWord	37	821f1ba8	vsrw
vectorConvertFromSignedFixedPoint128	34	8209ddc0	vcsxwfp128
vectorUnpackLowSignedByte	30	823c263c	vupklsb
loadVectorForShiftLeft	21	821058dc	lvsl
vectorSplatImmediateSignedWord128	20	8209ca40	vspltisw128
vectorShiftLeftIntegerByte	18	821f3734	vslb
sync	17	821e3f60	sync
vectorShiftLeftIntegerWord	16	8209dfe0	vslw
vectorConvertToSignedFixedPointWordSaturate	14	82154d04	vctsxs
enforceInOrderExecutionIO	14	821e5188	eieio
trapDoubleWordImmediate	14	821ff964	tdllei
vectorCompareGreaterThanFloatingPoint	12	82119118	vcmpgtfp
storeDoubleWordConditionalIndexed	10	821e3cdc	stdcx.
vectorSplatHalfWord	7	8211a498	vsplth
vector2RaisedToTheExponentEstimateFloatingPoint	7	821f1998	vexptefp
vectorLogicalAndWithComplement	6	8210ab2c	vandc
dataCacheBlockTouchForStore	6	82382ff0	dcbtst
vectorRoundToFloatingPointIntegerTowardZero	5	821e2598	vrfiz
vectorPackD3D128	4	821059bc	vpkd3d128
vectorMaximumFloatingPoint	4	8210b3d8	vmaxfp
vectorMinimumFloatingPoint	4	8210b404	vminfp
vectorRoundToFloatingPointIntegerNearest	4	82118e8c	vrfin
dataCacheBlockStore	4	821d8dd0	dcbst
vectorCompareEqualToUnsignedWord	3	82119290	vcmpequw
vectorRoundToFloatingPointIntegerTowardMinusInfinity	3	821f1990	vrfim
vectorLog2EstimateFloatingPoint	2	821f1abc	vlogefp
vectorPackSignedWordSignedSaturate	2	82208f60	vpkswss
vectorCompareGreaterThanOrEqualToFloatingPoint	1	82119558	vcmpgefp
vectorAddUnsignedWordSaturate	1	823ba4e4	vadduws
vectorShiftRightAlgebraicWord	1	823ba4e8	vsraw
vectorMaximumSignedWord	1	823ba4ec	vmaxsw
vectorAverageSignedHalfWord	1	823d0ad4	vavgsh
vectorMergeHighHalfWord	1	823d0ae8	vmrghh
vectorMergeLowHalfWord	1	823d0aec	vmrglh
vectorAverageSignedByte	1	823d0da8	vavgsb
vectorMergeHighByte	1	823d0dac	vmrghb
vectorMergeLowByte	1	823d0db0	vmrglb
