mission	family	JF	JV	JP	JG	supported	next_boundary
M01	vertical	passed	open	open	open	no	complete retail Vulkan world
M02	standard	open	open	open	open	no	checkpoint 4
M03	standard	open	open	open	open	no	checkpoint 4
M04	standard	open	open	open	open	no	checkpoint 4
M05	standard	open	open	open	open	no	checkpoint 4
M06	standard	open	open	open	open	no	checkpoint 4
M07	rich	open	open	open	open	no	checkpoint 5
M08	standard	open	open	open	open	no	checkpoint 4
M09	rich	open	open	open	open	no	checkpoint 5
M10	standard	open	open	open	open	no	checkpoint 4
M11	standard	open	open	open	open	no	checkpoint 4
M12	standard	open	open	open	open	no	checkpoint 4
M13	rich	open	open	open	open	no	checkpoint 5
M14	standard	open	open	open	open	no	checkpoint 4
M15	rich	open	open	open	open	no	checkpoint 5
