# Where a unit's child array comes from. Cycle 1349.
#
# Read at 0x820A7C58..0x820A7C88 in sub_820A7070, the dispatcher cycle 1345
# established has five jump tables -- so this is ONE arm, reached after the last
# of them, and nothing here says which inputs reach it.
#
#   lwz  r11,0(r25)             r11 = [r25]
#   addi r10,r17,2              r10 = index + 2
#   lwz  r9,356(r1)             r9  = the POINTER held in that stack slot
#   rlwinm r10,r10,2,0,29       r10 = (index + 2) * 4
#   add  r10,r10,r9             r10 = table + (index + 2) * 4
#   lbz  r11,0(r11)             r11 = a BYTE at [[r25]]
#   stw  r10,216(r16)           unit+0xD8 = table + (index + 2) * 4
#   stw  r11,220(r16)           unit+0xDC = that byte
#   lwz  r11,4(r26)
#   stw  r11,224(r16)           unit+0xE0 = [r26 + 4]
#   lwz  r11,0(r26)
#   stw  r11,228(r16)           unit+0xE4 = [r26 + 0]
#
# columns: field value note
0xD8	table + (index + 2) * 4	the child array is an ADDRESS INTO a larger table, not an allocation
0xDC	a byte at [[r25]]	the count is one byte wide, zero-extended into a word
0xE0	[r26 + 4]	from a two-word structure
0xE4	[r26 + 0]	the SAME structure, in reverse order -- +0xE0 takes the second word
#
# `index` is r17, compared just above against [[global 0x826E4EB4 + 0x4FC8] + 4]
# with `bge` leaving the arm, so it is a bounded loop index over units.
#
# WHAT THIS SETTLES: cycle 1332 saw the constructor zero +0xD8, +0xDC, +0xE0 and
# +0xE4 together and cycle 1345 found them written together here. They are filled
# from THREE different sources -- a table slice, a byte count, and a two-word
# structure read backwards -- so "one cluster" describes where they live, not
# where they come from.
#
# NOT ESTABLISHED: what the table at [r1+356] holds, and therefore whether its
# elements carry vtable 0x820078D0. That is the link cycle 1348 named and this
# cycle did not close.
