index,relative_offset,size,root_kind,rows,fhm,ntxr,ndxr,scene,mate,nfic,nfh,nsxr,binary,empty
0,0,81920,fhm,19,1,0,4,0,4,0,0,0,10,0
1,81920,319488,fhm,6,0,1,0,0,4,0,0,0,1,0
2,401408,1912832,fhm,116,1,0,5,0,5,0,0,0,105,0
3,2314240,5578752,fhm,3,0,1,0,0,1,0,0,0,1,0
4,7892992,143360,fhm,39,1,1,9,0,9,0,0,0,19,0
5,8036352,106496,fhm,6,0,1,0,0,4,0,0,0,1,0
6,8142848,81920,fhm,18,1,0,4,0,4,0,0,0,9,0
7,8224768,319488,fhm,2,0,1,0,0,0,0,0,0,1,0
8,8544256,139264,fhm,39,1,1,9,0,9,0,0,0,19,0
9,8683520,106496,fhm,6,0,1,0,0,4,0,0,0,1,0
10,8790016,159744,fhm,35,1,1,8,0,8,0,0,0,17,0
11,8949760,106496,fhm,6,0,1,0,0,4,0,0,0,1,0
12,9056256,135168,fhm,35,1,1,8,0,8,0,0,0,17,0
13,9191424,106496,fhm,6,0,1,0,0,4,0,0,0,1,0
14,9297920,385024,fhm,19,1,1,4,0,4,0,0,0,9,0
15,9682944,520192,fhm,6,0,1,0,0,4,0,0,0,1,0
16,10203136,286720,fhm,19,1,1,4,0,4,0,0,0,9,0
17,10489856,520192,fhm,6,0,1,0,0,4,0,0,0,1,0
18,11010048,335872,fhm,14,1,2,2,0,2,0,0,0,7,0
19,11345920,364544,fhm,14,1,2,2,0,2,0,0,0,7,0
20,11710464,81920,fhm,18,1,0,4,0,4,0,0,0,9,0
21,11792384,319488,fhm,6,0,1,0,0,4,0,0,0,1,0
22,12111872,86016,fhm,21,1,1,4,0,4,0,0,0,11,0
23,12197888,73728,fhm,6,0,1,0,0,4,0,0,0,1,0
24,12271616,479232,fhm,19,1,1,4,0,4,0,0,0,9,0
25,12750848,520192,fhm,6,0,1,0,0,4,0,0,0,1,0
26,13271040,434176,fhm,19,1,1,4,0,4,0,0,0,9,0
27,13705216,520192,fhm,6,0,1,0,0,4,0,0,0,1,0
28,14225408,221184,fhm,19,1,1,4,0,4,0,0,0,9,0
29,14446592,516096,fhm,6,0,1,0,0,4,0,0,0,1,0
30,14962688,417792,fhm,25,1,1,4,0,4,0,0,0,15,0
31,15380480,520192,fhm,6,0,1,0,0,4,0,0,0,1,0
