fhm_path,top_child,depth,parent_absolute_offset,local_offset,absolute_offset,size,path_records,first_path
22.1.0.2,22,3,36913936,80480,36994416,2304,18,"Scene/dd01_01a/dd01_01a_01/Tcam__c01.mop"
22.1.1.2,22,3,36996784,63344,37060128,2432,19,"Scene/dd01_01a/dd01_01a_02/Tcam__c02.mop"
22.1.2.2,22,3,37062624,62976,37125600,896,7,"Scene/dd01_01a/dd01_01a_03/Tcam__c03.mop"
22.1.3.2,22,3,37126528,55408,37181936,2432,19,"Scene/dd01_01a/dd01_01a_04/Tcam__c04.mop"
22.1.4.2,22,3,37184400,67312,37251712,1152,9,"Scene/dd01_01a/dd01_01a_05/Tcam__c05.mop"
22.1.5.2,22,3,37252896,93200,37346096,896,7,"Scene/dd01_01a/dd01_01a_06/Tcam__c06.mop"
22.1.6.2,22,3,37347024,60416,37407440,2048,16,"Scene/dd01_01a/dd01_01a_07/Tcam__c07.mop"
22.1.7.2,22,3,37409520,76848,37486368,1920,15,"Scene/dd01_01a/dd01_01a_08/Tcam__c08.mop"
22.1.8.2,22,3,37488320,19104,37507424,256,2,"Scene/dd01_01a/dd01_01a_09/Tcam__c07.mop"
22.1.9.2,22,3,37507712,330240,37837952,2560,20,"Scene/dd01_01a/dd01_01a_10/Tcam__cut11.mop"
22.1.10.2,22,3,37840544,325520,38166064,2304,18,"Scene/dd01_01a/dd01_01a_11/Tcam__cut12.mop"
22.1.11.2,22,3,38168432,469312,38637744,6144,48,"Scene/dd01_01a/dd01_01a_12/Tcam__cut13.mop"
22.1.12.2,22,3,38643968,97424,38741392,2560,20,"Scene/dd01_01a/dd01_01a_13/Tcam__cut14.mop"
22.1.13.2,22,3,38743984,48224,38792208,512,4,"Scene/dd01_01a/dd01_01a_14/Tcam__cut15.mop"
22.1.14.2,22,3,38792752,545824,39338576,3456,27,"Scene/dd01_01a/dd01_01a_15/Tcam__cut16.mop"
22.1.15.2,22,3,39342112,422160,39764272,4864,38,"Scene/dd01_01a/dd01_01a_16/Tcam__cut17.mop"
22.1.16.2,22,3,39769200,19632,39788832,512,4,"Scene/dd01_01a/dd01_01a_01_PostEffect/dd01_01a_01_Chromatic.mop"
22.1.17.2,22,3,39789360,13712,39803072,512,4,"Scene/dd01_01a/dd01_01a_02_PostEffect/dd01_01a_02_Chromatic.mop"
22.1.18.2,22,3,39803600,24080,39827680,512,4,"Scene/dd01_01a/dd01_01a_03_PostEffect/dd01_01a_03_Chromatic.mop"
22.1.19.2,22,3,39828208,19632,39847840,512,4,"Scene/dd01_01a/dd01_01a_04_PostEffect/dd01_01a_04_Chromatic.mop"
