scene_fhm_path,record_index,scene_path,resource_fhm_path,resource_absolute_offset,resource_size,format,data_offset,declared_size,state_fhm_path,state_absolute_offset,state_size,state_format
22.1.0.2,0,"Scene/dd01_01a/dd01_01a_01/Tcam__c01.mop",22.1.0.1.0,36953728,4656,gyz,64,4592,22.1.0.0,36914048,39352,NFIC_CUT
22.1.0.2,1,"Scene/dd01_01a/dd01_01a_01/Tunit__PLAYER__01.mop",22.1.0.1.1,36958384,5280,gyz,64,5216,22.1.0.0,36914048,39352,NFIC_CUT
22.1.0.2,2,"Scene/dd01_01a/dd01_01a_01/Tlod__r_f16c_t1__01.mop",22.1.0.1.2,36963664,4992,gyz,64,4928,22.1.0.0,36914048,39352,NFIC_CUT
22.1.0.2,3,"Scene/dd01_01a/dd01_01a_01/Tlod__r_f18f_t1__01.mop",22.1.0.1.3,36968656,4992,gyz,64,4928,22.1.0.0,36914048,39352,NFIC_CUT
22.1.0.2,4,"Scene/dd01_01a/dd01_01a_01/Tlod__o_f16c_t1__06.mop",22.1.0.1.4,36973648,656,gyz,64,592,22.1.0.0,36914048,39352,NFIC_CUT
22.1.0.2,5,"Scene/dd01_01a/dd01_01a_01/Tlod__o_f16c_t1__07.mop",22.1.0.1.5,36974304,656,gyz,64,592,22.1.0.0,36914048,39352,NFIC_CUT
22.1.0.2,6,"Scene/dd01_01a/dd01_01a_01/Tlod__o_f16c_t1__08.mop",22.1.0.1.6,36974960,656,gyz,64,592,22.1.0.0,36914048,39352,NFIC_CUT
22.1.0.2,7,"Scene/dd01_01a/dd01_01a_01/Tlod__o_f16c_t1__09.mop",22.1.0.1.7,36975616,656,gyz,64,592,22.1.0.0,36914048,39352,NFIC_CUT
22.1.0.2,8,"Scene/dd01_01a/dd01_01a_01/Tlod__o_f16c_t1__10.mop",22.1.0.1.8,36976272,2784,gyz,64,2720,22.1.0.0,36914048,39352,NFIC_CUT
22.1.0.2,9,"Scene/dd01_01a/dd01_01a_01/Tlod__o_f16c_t1__11.mop",22.1.0.1.9,36979056,656,gyz,64,592,22.1.0.0,36914048,39352,NFIC_CUT
