tid    st  cpu%    wchan                     comm
4002230 S    102.2% 0                         Audio Worker
4002222 S     36.7% poll_schedule_timeout.constprop.0 ac6recomp
4002223 S     12.4% hrtimer_nanosleep         ac6recomp
4002304 R      6.4% futex_do_wait             XThread1D43D6C0
4002236 R      5.1% futex_do_wait             GPU Commands (F
4002290 S      2.7% futex_do_wait             XThread3FFFF6C0
4002312 S      2.3% hrtimer_nanosleep         XThread1543D6C0
4002237 S      2.3% hrtimer_nanosleep         GPU VSync (F800
4002311 S      0.6% hrtimer_nanosleep         XThread1643E6C0
4002313 S      0.5% hrtimer_nanosleep         XThreadF7FFF6C0
4002314 S      0.4% futex_do_wait             XThreadF6FFE6C0
4002310 S      0.4% ep_poll                   SDLAudioP15
4002235 S      0.4% futex_do_wait             ac6recomp
4002234 S      0.4% futex_do_wait             [vkps] Update
4002288 R      0.3% futex_do_wait             XThread4EFFE6C0
4002294 S      0.2% futex_do_wait             XThread2EFFE6C0
4002232 S      0.1% futex_do_wait             [vkcf] Analysis
4002331 S      0.0% futex_do_wait             XThreadF5FFD6C0
4002309 S      0.0% ep_poll                   module-rt
4002308 S      0.0% ep_poll                   module-rt
4002307 S      0.0% ep_poll                   SDLPwAudioPlug
4002306 S      0.0% ep_poll                   module-rt
4002297 S      0.0% futex_do_wait             XThread1FFFF6C0
4002295 S      0.0% futex_do_wait             XThread2DFFD6C0
4002293 S      0.0% futex_do_wait             XThread2FFFF6C0
4002292 S      0.0% futex_do_wait             XThread3DFFD6C0
4002291 S      0.0% futex_do_wait             XThread3EFFE6C0
4002289 S      0.0% futex_do_wait             XThread4DFFD6C0
4002286 S      0.0% futex_do_wait             XThread4FFFF6C0
4002285 S      0.0% futex_do_wait             XThread5DFFD6C0
4002284 S      0.0% futex_do_wait             XThread5EFFE6C0
4002283 S      0.0% futex_do_wait             XThread5FFFF6C0
4002281 S      0.0% futex_do_wait             XThread6DFFD6C0
4002280 S      0.0% futex_do_wait             XThread6EFFE6C0
4002279 S      0.0% futex_do_wait             XThread6FFFF6C0
4002278 S      0.0% futex_do_wait             XThread814266C0
4002277 S      0.0% futex_do_wait             ac6recomp
4002276 S      0.0% futex_do_wait             Vulkan Storage 
4002275 S      0.0% __skb_wait_for_more_packets Main XThread (F
4002262 S      0.0% futex_do_wait             Vulkan Pipeline
4002261 S      0.0% futex_do_wait             Vulkan Pipeline
4002260 S      0.0% futex_do_wait             Vulkan Pipeline
4002259 S      0.0% futex_do_wait             Vulkan Pipeline
4002258 S      0.0% futex_do_wait             Vulkan Pipeline
4002257 S      0.0% futex_do_wait             Vulkan Pipeline
4002256 S      0.0% futex_do_wait             Vulkan Pipeline
4002255 S      0.0% futex_do_wait             Vulkan Pipeline
4002254 S      0.0% futex_do_wait             Vulkan Pipeline
4002253 S      0.0% futex_do_wait             Vulkan Pipeline
4002252 S      0.0% futex_do_wait             Vulkan Pipeline
4002251 S      0.0% futex_do_wait             Vulkan Pipeline
4002250 S      0.0% futex_do_wait             Vulkan Pipeline
4002249 S      0.0% futex_do_wait             Vulkan Pipeline
4002248 S      0.0% futex_do_wait             Vulkan Pipeline
4002247 S      0.0% futex_do_wait             Vulkan Pipeline
4002246 S      0.0% futex_do_wait             Vulkan Pipeline
4002245 S      0.0% futex_do_wait             Vulkan Pipeline
4002244 S      0.0% futex_do_wait             Vulkan Pipeline
4002243 S      0.0% futex_do_wait             Vulkan Pipeline
4002242 S      0.0% futex_do_wait             Vulkan Pipeline
4002241 S      0.0% futex_do_wait             Vulkan Pipeline
4002240 S      0.0% futex_do_wait             Vulkan Pipeline
4002239 S      0.0% futex_do_wait             Vulkan Pipeline
4002238 S      0.0% futex_do_wait             Kernel Dispatch
4002233 S      0.0% futex_do_wait             [vkrt] Analysis
4002231 S      0.0% futex_do_wait             ac6recomp
4002229 S      0.0% futex_do_wait             XMA Decoder
4002228 S      0.0% futex_do_wait             ac6recomp
4002227 S      0.0% poll_schedule_timeout.constprop.0 gdbus
4002226 S      0.0% poll_schedule_timeout.constprop.0 gmain
4002225 S      0.0% futex_do_wait             pool-spawner
4002224 S      0.0% futex_do_wait             [pango] fontcon
